ID,Notes,Attachments,Front,Weapon,Type 2 ,Name1,Name2,Squadron,Location,Description,Fate
1,"October 6, 1973",Skyhawk,Syria,SA6,A -4H Ayit 187,Capt. Eitan Hanan,Capt. Eitan Hanan,109 sqn,Birket Ram,"Shot down by Syrian SA -6, pilot killed. First IAF jet downed during Yom Kippur War",kia
2,"October 6, 1973",Skyhawk,Syria,SA2,A -4E Ayit 235,Lt. Yanki Yardeni,Lt. Yanki Yardeni,110 sqn,Hermon area,"Shot down by Syrian SA -2, pilot ejected above Israeli -held territory and was rescued",ok
3,"October 6, 1973",Skyhawk,Egypt,54-7,A -4H Ayit 54,ishay Katziri,ishay Katziri,102 sqn,N sector of Suez Canal,"Shot down by Egyptian 54-7, pilot ejected over salt swamp and was captured",pow
4,"October 6, 1973",Skyhawk,Egypt,SAM,A -4H Ayit 24,Matti Carp,Matti Carp,102 sqn,N of Great Bitter Lake,"Shot down by Egyptian SAM, pilot ejected above Israeli -held territory and was rescued",ok
5,"October 6, 1973",Skyhawk,Egypt,SAM,A -4H Ayit 64,Lt. Ehud Sadan,Lt. Ehud Sadan,102 sqn,El Qantara,"Shot down by Egyptian SAM in 18:30, pilot was killed",kia
6,"October 6, 1973",Skyhawk,Egypt,SA6,F -4E Kurnass 124,"Capt. Yis'sachar Naveh, Lt. David Zilberman","Capt. Yis'sachar Naveh, Lt. David Zilberman",119 sqn,Hatzerim,"Night bombing of bridges, hit by SA -6 over Ismailia, crashed at landing in Hatzerim. Both crew members were killed.",kia
7,"October 7, 1973",Skyhawk,Syria,SAM,A -4H Ayit 753,Capt. Zvi Horovitz,Capt. Zvi Horovitz,102 sqn,Golan heights,Shot down by Syrian SAM,kia
8,"October 7, 1973",Skyhawk,Syria,SAM,A -4E Ayit 255,Capt. Rafael Lev,Capt. Rafael Lev,110 sqn,Golan heights,Shot down by Syrian SAM during CAS mission,kia
9,"October 7, 1973",Skyhawk,Egypt,SAM,A -4N Ayit 312,Maj. Shimon Ash,Maj. Shimon Ash,115 sqn,N of Ismailia,"Shot down by Egyptian SAM during operation ""Challenge 4""",mia
10,"October 7, 1973",Skyhawk,Egypt,SAM,A -4H Ayit 68,Maj. Libby Doller,Maj. Libby Doller,102 sqn,Suez Canal area,"Shot down by Egyptian SAM during operation ""Challenge 4""",kia
11,"October 7, 1973",Skyhawk,Syria,AAA,A -4E Ayit 211,Amnon Shamir,Amnon Shamir,116 sqn,W of Kuneitra,Shot down by Syrian AAA at 8:30 during CAS mission,ok
12,"October 7, 1973",Skyhawk,Egypt,SAM,A -4H Ayit 760,Capt. Shai Avital,Capt. Shai Avital,102 sqn,Suez Canal area,Shot down by Egyptian SAM,kia
13,"October 7, 1973",Skyhawk,Egypt,AAA,A -4H Ayit 34,Capt. Yoram Lapidot,Capt. Yoram Lapidot,109 sqn,Ash-Shallufa,Shot down by Egyptian ZSU-23-4,kia
14,"October 7, 1973",Skyhawk,Egypt,SAM,A -4E Ayit 267,Capt. Moshe Ostraicher,Capt. Moshe Ostraicher,110 sqn,Port Said area,Shot down by Egyptian SAM,kia
15,"October 7, 1973",Skyhawk,Egypt,SAM,A -4E Ayit 239,Capt. Levi Bar-Ziv,Capt. Levi Bar-Ziv,110 sqn,Great Bitter Lake,Shot down by Egyptian SAM,kia
16,"October 7, 1973",Skyhawk,Syria,AAA,A -4N Ayit 361,Capt. Israel Rozenblum,Capt. Israel Rozenblum,115 sqn,N of Tel Faris,Shot down by Syrian AAA,kia
17,"October 7, 1973",F-4 Phantom,Syria,accident,F -4E Kurnass,"Lt.Col. Ehud Hankin, Maj. Shaul Levi","Lt.Col. Ehud Hankin, Maj. Shaul Levi",69 sqn,Golan heights,"Shot down by Syrian 54-6 during operation ""Model 5""","kia, kia"
18,"October 7, 1973",F-4 Phantom,Syria,AAA,F -4E Kurnass 192,"Lt. Avraham Barber, Zvi Afik","Lt. Avraham Barber, Zvi Afik",119 sqn,Golan heights,"Shot down by Syrian 54-6 during operation ""Model 5""","pow, pow"
19,"October 7, 1973",F-4 Phantom,Syria,AAA,F -4E Kurnass 621,"Capt. Uri Shahak, 2-nd Lt. Gilad Gerber","Capt. Uri Shahak, 2-nd Lt. Gilad Gerber",201 sqn,Nawa village,"Shot down by Syrian 54-6 during operation ""Model 5""","pow, pow"
20,"October 7, 1973",F-4 Phantom,Syria,54-6,F -4E Kurnass 645,"Mein Shani, 2-nd Lt. Abraham Ashael","Mein Shani, 2-nd Lt. Abraham Ashael",201 sqn,SW of Tel -Faris,"Shot down by Syrian 54-6 during operation ""Model 5""","pow, pow"
21,"October 7, 1973",F-4 Phantom,Syria,SA6,F -4E Kurnass 661,"Chaim Ram, Lt. Yitzhak Yahav","Chaim Ram, Lt. Yitzhak Yahav",201 sqn,Golan heights,"Shot down by Syrian SA -6 during operation ""Model 5""","pow, pow"
22,"October 7, 1973",F-4 Phantom,Syria,AAA,F -4E Kurnass 682,"Kobi Hayon, Uzi Shamir","Kobi Hayon, Uzi Shamir",201 sqn,Safad,"Shot down by Syrian ZSU-23-4 during operation ""Model 5"", crew ejected above Israeli -held territory and was rescued","ok, ok"
23,"October 7, 1973",F-4 Phantom,Egypt,,F -4E Kurnass 177,"Capt. Aminadav Alkalay, Yehoshoa Wolfson","Capt. Aminadav Alkalay, Yehoshoa Wolfson",69 sqn,Suez Canal area,Shot down during bombing of the pontoon bridge,"pow, pow"
24,"October 7, 1973",F-4 Phantom,Syria,SAM,F -4E Kurnass 03,"Eitan Levi, David","Eitan Levi, David",69 sqn,Golan heights,"Shot down by Syrian SAM, crew ejected safely","ok, ok"
25,"October 7, 1973",Mirage,Syria,MiG-21,Mirage Illcj 6632,Capt. Ami Lahav,Capt. Ami Lahav,117 sqn,Hermon area,Shot down by Syrian MiG-21,kia
26,"October 7, 1973",Super Mystère,Syria,AAA,SMB.2 Sa'ar,Capt. Doron Smadar,Capt. Doron Smadar,105 sqn,SW Tel -Faris,Shot down by Syrian AAA,kia
27,"October 7, 1973",Super Mystère,Egypt,AAA,SMB.2 Sa'ar,Capt. Itshak Kaidar,Capt. Itshak Kaidar,105 sqn,Suez sity,"Shot down by Egyptian AAA, Suez bombing of bridges",kia
28,"October 7, 1973",Super Mystère,Accident,Accident,SMB.2 Sa'ar 13,Aviram Cohen,Aviram Cohen,105 sqn,Hazor air base,Take -off accident,inj
29,"October 7, 1973",Super Mystère,Egypt,AAA,SMB.2 Sa'ar,Lt. Eli Gor,Lt. Eli Gor,105 sqn,,Shot down by Egyptian AAA,pow
30,"October 8, 1973",Skyhawk,Syria,AAA,A -4E Ayit 226,Lobashevsky,Lobashevsky,110 sqn,Golan heights,"Shot down by Syrian AAA, pilot ejected",ok
31,"October 8, 1973",Skyhawk,Egypt,SA6,A -4N Ayit 366,Lt. Zvi Rosen,Lt. Zvi Rosen,115 sqn,N Suez City,Shot down by Egyptian SA -6,pow
32,"October 8, 1973",Skyhawk,Egypt,SAM,A -4N Ayit 363,Capt. Zvika Bashan,Capt. Zvika Bashan,115 sqn,Chinese Ranch,Shot down by Egyptian SAM,kia
33,"October 8, 1973",Skyhawk,Egypt,SA7,A -4H Ayit 04,Schwager,Schwager,102 sqn,,Shot down by Egyptian SA -7,ok
34,"October 8, 1973",Skyhawk,Egypt,AAA,TA -4 Ayit 46,Capt. Gideon Ben,Capt. Gideon Ben,102 sqn,Suez,Shot down by Egyptian AAA,kia
35,"October 8, 1973",F-4 Phantom,Egypt,54-6,F -4E Kurnass 245,"Maj. Amitzai Zvulun, Capt. Yogev Ze'ev","Maj. Amitzai Zvulun, Capt. Yogev Ze'ev",69 sqn,Bitter Lake,Shot down by Egyptian 54-6 on the 7/8 october night BAI mission against a Suez Canal bridge,kia
36,"October 8, 1973",F-4 Phantom,Syria,MiG-21,F -4E Kurnass,"Lt. Yoram Shahar, Gur Israeli","Lt. Yoram Shahar, Gur Israeli",69 sqn,Damascus - Dmeir,Shot down by Syrian MiG-21 7:30 a.m.,"pow, pow"
37,"October 8, 1973",F-4 Phantom,Egypt,SA6,F -4E,"Maj. Uri Shani, 2ndLt. Dror Jaffe","Maj. Uri Shani, 2ndLt. Dror Jaffe",201 sqn,Firdan area,Shot down by Egyptian SA -6 night attack,"kia, kia"
38,"October 8, 1973",F-4 Phantom,Egypt,AAA,F -4E Kurnass 247,"Mai. Michael Dvir, Capt. Shabtai Ben-Shu'a","Mai. Michael Dvir, Capt. Shabtai Ben-Shu'a",69 sqn,Bitter Lake,"Shot down by Egyptian AAA on the 8/9 october night BAI mission, against a Suez Canal bridge,crew recovered by helicopter","ok, ok"
39,"October 8, 1973",Nesher,Egypt,MiG-21,Nesher 593,Maj. Eitan Carmi,Maj. Eitan Carmi,101 sqn,Port Said,Shot down by an Egyptian MiG-21MF ( 46 sqn 104 AB),ok
40,"October 9, 1973",Skyhawk,Egypt,AAA,A -4H Ayit 90,Kadmon,Kadmon,102 sqn,,Shot down by Egyptian AAA,ok
41,"October 9, 1973",Skyhawk,Syria,SAM,A -4E Ayit 245,Lt. Gideon Sharon,Lt. Gideon Sharon,110 sqn,,Shot down by Syrian SAM,ok
42,"October 9, 1973",Skyhawk,Egypt,,A -4E Ayit 218,Col. Lev Arlozor,Col. Lev Arlozor,110 sqn,S Port Said,Pilot incapacitated,kia
43,"October 9, 1973",Skyhawk,Egypt,SA3,A -4E Ayit 229,Lt.Col. Ehud Shelach,Lt.Col. Ehud Shelach,116 sqn,Kantara,Shot down by Egyptian SA -3,kia
44,"October 9, 1973",Skyhawk,Egypt,AAA or SA7,A -4E Ayit 211,Lt. Yaniv Nitaly,Lt. Yaniv Nitaly,116 sqn,Kantara,Shot down by Egyptian AAA or SA -7,kia
45,"October 9, 1973",Skyhawk,Egypt,SA6,A -4N Ayit 398,Maj. Mario Shaked,Maj. Mario Shaked,115 sqn,Deversoir,Shot down by Egyptian SA -6,kia
46,"October 9, 1973",Skyhawk,Egypt,54-7,A -4E Ayit 204,Assaf Matos,Assaf Matos,116 sqn,Ballah,Shot down by Egyptian 54-7 at 3500ft 400knots,pow
47,"October 9, 1973",Skyhawk,Egypt,AAA,A -4H Ayit 750,Amon Gardi,Amon Gardi,102 sqn,,Shot down by Egyptian AAA,pow
48,"October 9, 1973",Skyhawk,Egypt,AAA,A -4H Ayit 766,Capt. Pedro Reinberg,Capt. Pedro Reinberg,102 sqn,,Shot down by Egyptian AAA,pow
49,"October 9, 1973",F-4 Phantom,,Accident,F -4E Kurnass 215,"Sen.Lt. Yoram Peled, Jabal Marara","Sen.Lt. Yoram Peled, Jabal Marara",107 sqn,,"Lost hudraylic system and crashed, both pilots ejected safely",ok
