ID,Name copy,Notes,Status,Year Established,Year Disbanded ,Individuals,References,Predecessor,Successor,Affiliation,Location,Branch,Command,Rrole,Bibliography Attachment,Bibliography,Audio-video,תאריך הקמה,מאפיינים מבצעיים,מאפיינים ארגוניים,נסיבות הקמה,נסיבות פירוק,ייעוד עיקרי,ייעוד משני,פיקוד,זרוע,יחידת אם - לניתוח רשתות,יחידות ממשיכות - לניתוח רשתות,יחידות מתחרות,מייסד היחידה עבור ניתוח רשתות ובדיקת השערת הכרימזה,מפקדים בולטים עבור ניתוח רשתות ובדיקת השערת הכרימזה,מקור השראה,טיפוח תדמית תרבות ארגונית,מידת יוקרה תרבות ארגונית,INDIVIDUALS copy,Field 37
Haganah,Haganah,ההגנה,Conventional,1920,1948,,,,IDF,,,Haganah,,,,,,15 ביוני,,,"בתחילת חודש מרס הותקפה תל-חי ושישה ממגיניה נהרגו, ובראשם המפקד יוסף טרומפלדור. לאחר כמה שבועות פרצו מהומות דמים בירושלים (""מאורעות תר""ף - 1920"")",הקמת המדינה,הגנה על היישוב היהודי,בניין כוח צבאי,,אחדות העבודה,השומר,"צה""ל",,"חיים שטורמן, ירחמיאל לוקצ'ר ויהושע אייזיק",,הפעולות של גרמניה במזרח אפריקה בשנות העשרים ובעיקר מאלה של פאול פון לטו-פורבק,,,,
Nodedet,Nodedet,הנודדת,Conventional,1929,1933,Yitzhak Sadeh - Wikipedia,,,Nodedet,Haganah,,Haganah,Jerusalem,Preventive,,,,,הגנה דינאמית,מיליציה,"מאורעות תרפ""ט",,הגנה מקומית,,תל-אביב,ההגנה,,,,אלימלך זליקוביץ (כינוי: זליק או אבנר),אלימלך זליקוביץ ,,,,,
Nodedet ,Nodedet ,הנודדת,Elite,1936,1939,,,Nodedet,Nodedet in Jerusalem,Haganah,,Haganah,Tel Aviv,Preventive,,,,17 באפריל,הגנה דינאמית,מיליציה,המרד הערבי,,הגנה מקומית,,תל-אביב,ההגנה,,,,,,,,,,
Nodedet in Jerusalem,Nodedet in Jerusalem,הנודדת בירושלים,Elite,1936,1939,"Yitzhak Sadeh,Yitzhak Sadeh - Wikipedia",,Nodedet,Mobile Guard,Haganah,,Haganah,Jerusalem,Preventive,,,,,הגנה דינאמית,מיליציה,המרד הערבי,מעבר לפלוגות השדה,הגנה דינאמית ,,ירושלים,ההגנה,הנודדת,,,יצחק שדה,"צבי ספקטור, ישראל בן יהודה (עבדו)",,,,Yitzhak Sadeh,
Filed Companies,Filed Companies,פלוגות השדה,Elite,1937,1939,"Yitzhak Sadeh,Yigal Allon,Moshe Dayan,Yitzhak Sadeh - Wikipedia",,Mobile Guard,Filed Companies,Haganah,,Haganah,North,Preventive,,,,,הגנה דינאמית,מיליציה,המרד הערבי,"מעבר למשמר הנע, צביון פוליטי, מאבקי כוח עם ההגנה",הגנה דינאמית על צינור חברת הנפט העיראקית ,תפישת עולמו הציונית של וינגייט הביאה אותו לגלות דאגה רבה גם לגורל הישובים היהודיים שהותקפו,,"חיל הנוטרים, משטרת היישובים העבריים",הנודדת,,,יצחק שדה,"יגאל אלון, משה דיין",,,גבוהה,"Yigal Allon, Yitzhak Sadeh, Moshe Dayan",
Guards of the Trains and the Ports,Guards of the Trains and the Ports,"נוטרי מסילות הברזל, שדות התעופה והנמלים",Conventional,1937,1939,,,Guards of the Trains and the Ports,Guards of the Trains and the Ports,,,Haganah,North,Preventive,,,,,הגנה דינאמית,מיליציה,המרד הערבי,,שמירה על מסילות הברזל בשיתוף עם הצבא הבריטי במקרה שהמרד הערבי יתחדש. בעיקר מסילת הברזל בין חיפה ללוד,,,"הצבא הבריטי, ההגנה",,,,,,,,,,
Mobile Guard,Mobile Guard,המשמרות הנעים פלוגה נודדת ופלוגה מעופפת,Elite,1937,1939,Yitzhak Sadeh,,Nodedet in Jerusalem,Filed Companies,Haganah,,Haganah,North,Preventive,,,,,הגנה דינאמית,מיליציה,המרד הערבי,,הגנה על יישובים חקלאיים בעמק ובגליל,,,,,,,,,,,,Yitzhak Sadeh,
Pipeline Defenders Platoon,Pipeline Defenders Platoon,מחלקת משמר צינור הנפט פלוגת האש,Conventional,1938,1939,,,Pipeline Defenders Platoon,Special Night Squad,British Army,,Haganah,North,Preventive,,,,יוני,הגנה דינאמית,מיליציה,,,,,,,,,,,,,,,,
Special Night Squad,Special Night Squad,פלוגות הלילה המיוחדות,Elite,1938,1938,Orde Charles Wingate,,Pipeline Defenders Platoon,Palmach,Haganah,,Haganah,North,Preventive,,,,13 ביולי,הגנה דינאמית,מיליציה,המרד הערבי,האגרסיביות של וינגייט,הגנה דינאמית ,הקמת צבא יהודי,איזור הצפון,הצבא הבריטי משטרת הישובים העבריים,מחלקת משמר צינור הנפט פלוגת האש ,,,אורד צ'רלס וינגייט,,לורנס איש ערב מהוגי רעיון הפעולות המיוחדות במסגרת המרד הערבי נגד האימפריה העות'מאנית,,,Orde Charles Wingate,
Special Operations Unit,Special Operations Unit,"יחידה מיוחדת לפעולות מיוחדות פו""ם ",Elite,1939,1941,"Yitzhak Sadeh,Yitzhak Sadeh - Wikipedia",,Filed Companies,Palmach,Haganah,,Haganah,Center,Clandestine,,,,5 ביוני,הגנה דינאמית,מיליציה,פרסום הספר הלבן,פרוץ מלחמת העולם השניה,מאבק בבריטים,,פרישה ארצית,ההגנה - אם כי זרוע חשאית ועצמאית,פלוגות השדה,,,יצחק שדה,"מוניה מרדור, חיים לסקוב, אברהם נגב",,,,Yitzhak Sadeh,
