ID,Formed,Dissolved,Overall Longevity,Standardized Longevity,Fate,Size,Status,Entrepreneur
Golani Recon,1948,2001,53,0.791,merged,platoon,Cons,none
7 RECON - 1,1948,1973,25,0.373,demised,platoon,Cons,none
Shayetet 13,1949,2015,66,1.000,expanded,battalion,Semi-Pro,transformative
Unit 30,1951,1952,1,0.016,demised,small platoon,Cons,none
Unit 101,1953,1954,1,0.016,expanded,company,Ad-Hoc,founder
Airborne RECON 890 - 1,1954,1955,1,0.016,merged,company,Cons,founder
150 RECON,1954,1954,0,0.000,demised,platoon,Cons,none
Airborne RECON - 2,1955,1956,1,0.017,merged,platoon,Cons,founder
Shaked,1955,1982,27,0.450,demised,battalion,Cons,none
Egoz 1,1956,1957,1,0.017,demised,battalion,Cons,none
Airborne RECON - 3,1956,2002,46,0.780,merged,platoon,Cons,none
332 Mortars,1956,1956,0,0.000,demised,company,Cons,none
755 ATM - 1,1956,1970,14,0.237,demised,company,Res,none
Sayeret Matkal,1957,2015,58,1.000,expanded,battalion,Semi-Pro,founder
Defensive Divers 707 - 1,1962,1974,12,0.226,demised,platoon,Cons,founder
Egoz - 2,1963,1974,11,0.212,demised,battalion,Cons,none
Airborne ENG,1963,2015,52,1.000,merged,platoon,Cons,none
525 RECON,1963,1964,1,0.019,merged,platoon,Cons,none
Golani ENG - 1,1965,1977,12,0.240,merged,platoon,Res,none
Golani ENG - 2,1977,2001,24,0.632,merged,platoon,Cons,none
Duchiphat - 1,1966,1969,3,0.061,demised,platoon,Cons,founder
Haruv,1966,1974,8,0.163,demised,battalion,Cons,none
Shahar,1967,2000,33,0.688,demised,platoon,Cons,none
401 RECON - 1,1968,1973,5,0.106,demised,platoon,Cons,none
Shfifon,1968,1969,1,0.021,demised,company,Ad-Hoc,none
Reconnaisance Anti-Tank 582 80,1968,1972,4,0.085,demised,battalion,Res,none
Polar Bear,1968,1974,6,0.128,demised,battalion,Res,none
Chameleon,1970,1970,0,0.000,demised,company,Ad-Hoc,none
Rimon - 1,1970,1971,1,0.022,demised,company,Ad-Hoc,none
Sapir,1970,1995,25,0.556,merged,platoon,Cons,none
401 RECON - 2,1973,1974,1,0.024,demised,platoon,Cons,none
Target Field Intelligence,1973,2003,30,0.714,demised,battalion,Cons,none
755 ATM - 2,1973,1974,1,0.024,demised,company,Res,none
Natran Mortars,1973,1973,0,0.000,demised,company,Cons,none
87 RECON,1973,1974,1,0.024,demised,battalion,Res,none
Palsar 421,1973,1986,13,0.310,demised,platoon,Res,none
Golani ATM - 1,1974,1976,2,0.049,merged,platoon,Res,none
Golani ATM -2,1977,2001,24,0.585,merged,platoon,Cons,none
Unit Alpinistim,1974,2015,41,1.000,endured,platoon,Res,none
Airborne ATM,1974,2002,28,0.683,merged,platoon,Cons,none
Military CT School,1974,2015,41,1.000,endured,platoon,Cons,none
Oketz,1974,2015,41,1.000,endured,platoon,Cons,none
Yamam - Police,1974,2015,41,1.000,endured,battalion,Pro,none
98 Paratroopers Division,1974,2015,41,1.000,endured,division,Res,none
Shaldag,1974,2015,41,1.000,expanded,battalion,Semi-Pro,founder
669 SAR,1974,2015,41,1.000,endured,battalion,Semi-Pro,none
Yatam,1974,1993,19,0.463,demised,platoon,Cons,none
Nahal ATM - 1,1977,1990,13,0.342,merged,platoon,Res,none
Nahal ATM - 2,1991,2002,11,0.458,merged,platoon,Cons,none
Machsar 605,1977,2015,38,1.000,endured,company,Cons,none
Yaltam (707) - 2,1978,2015,37,1.000,endured,platoon,Pro,none
Moran,1981,2003,22,0.647,demised,battalion,Cons,none
Yael RECON,1982,1995,13,0.394,merged,platoon,Cons,none
Givati RECON,1983,2002,19,0.594,merged,platoon,Cons,none
Nahal RECON,1983,2001,18,0.563,merged,platoon,Cons,none
Duchiphat - 2,1984,1992,8,0.258,demised,battalion,Cons,none
Givati ATM,1984,2002,18,0.581,merged,platoon,Cons,none
Palhan Givati,1984,2002,18,0.581,merged,platoon,Cons,none
Yatam - Lebanon,1985,1993,8,0.267,demised,company,Cons,none
Palsar 7 - 3,1986,2015,29,1.000,endured,platoon,Cons,none
Maglan,1986,2015,29,1.000,expanded,battalion,Cons,transformative
Duvdevan,1986,2015,29,1.000,endured,battalion,Cons,none
Meitar,1987,2015,28,1.000,endured,battalion,Cons,none
Shimshon,1987,1996,9,0.321,demised,platoon,Cons,none
Yatam - Mobile,1987,1993,6,0.214,demised,platoon,Cons,none
Unit 7555,1988,2015,27,1.000,endured,company,Cons,founder
LOTAR Eilat,1989,2015,26,1.000,endured,platoon,Res,none
Yamas West Bank - Police,1991,2015,24,1.000,endured,platoon,Pro,founder
Yamas Jerusalem - Police,1993,2015,22,1.000,endured,platoon,Pro,none
Yamas Aravah - Police,1991,2015,24,1.000,endured,platoon,Pro,none
Matilan - Police,1996,2011,15,0.789,endured,platoon,Pro,none
Palsar 401 - 3,1992,2015,23,1.000,endured,platoon,Cons,none
Nahal ENG,1992,2001,9,0.391,merged,platoon,Cons,none
Yacmam,1993,2009,16,0.727,demised,platoon,Cons,none
Machsar 603,1993,2015,22,1.000,endured,company,Cons,none
Machsar 601,1994,2015,21,1.000,endured,company,Cons,none
Snowy Slope,1994,1995,1,0.048,merged,company,Cons,none
Egoz - 3,1995,2015,20,1.000,endured,battalion,Cons,none
Yahalom,1995,2015,20,1.000,endured,brigade,Cons,none
Barkan,1998,2012,14,0.824,demised,platoon,Cons,none
Yachmam Shahaf,2000,2015,15,1.000,endured,platoon,Cons,none
Yachmam Nitzan,2000,2015,15,1.000,endured,platoon,Cons,none
Yachmam Nesher,2000,2015,15,1.000,endured,platoon,Cons,none
Gadsar Golani,2002,2015,13,1.000,endured,battalion,Cons,none
Gadsar Tzanhanim,2002,2015,13,1.000,endured,battalion,Cons,none
Gadsar Nahal,2002,2015,13,1.000,endured,battalion,Cons,none
Gadsar Givati,2003,2015,12,1.000,endured,battalion,Cons,none
Samoor,2003,2015,12,1.000,endured,platoon,Cons,none
Rimon,2010,2015,5,1.000,endured,battalion,Cons,none
Yanmam ,2012,2015,3,1.000,endured,platoon,Cons,none
