Name,Notes,Attachments,Predecessor,Successor,Affiliation,Year Established,Year Disbanded ,Branch,Command,Rrole,References,Bibliography Attachment,Bilbiography,Audio-video,תאריך הקמה,מאפיינים מבצעיים,מאפיינים ארגוניים,נסיבות הקמה,נסיבות פירוק,עוצמת קונפליקט,ייעוד עיקרי,ייעוד משני,בסיס,פיקוד,זרוע,הגדרת תפקיד,תנאי קבלה,תקופת הכשרה,הכשרה,טקטיקה,משך השירות,גודל הקמה,"סד""כ ראשוני",גודל בהמשך,"סד""כ בהמשך",נשק וציוד ייחודי,רכב,מלחמות מבצעים,יחידת אם - לניתוח רשתות,יחידות ממשיכות - לניתוח רשתות,יחידות מתחרות,מייסד היחידה עבור ניתוח רשתות ובדיקת השערת הכרימזה,מפקדים בולטים עבור ניתוח רשתות ובדיקת השערת הכרימזה,מקור השראה,טיפוח תדמית תרבות ארגונית,מידת יוקרה תרבות ארגונית,TOC,Individuals Glossary copy
,"פלס""ר 67 חטיבה 14 מילואים",,,,,,,Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"ספי""ר",,,,,,,Engineering,,,,,,,,,,,,,טיפול בתחמושת אוירית,,,צפון,הנדסה,סלק,,,,,,,,,,,,,,,,,,,,,,
,ברקן,,,,,,,Air force,,,,,,,,,,,,,"הפעלת ברקן ( סטינגר) - טיל כתף נ""מ קצר-טווח, על-קולי, בעל ביות אינפרא-אדום ואולטרא-סגול, ליירוט כלי-טיס מנמיכי טוס. ",,,,מערך ההגנה האווירית,,,,,,,,,,,,,,,,,,,,,,,
,"צס""מ (צוות סיור מודיעין) יחידת מילואים",,,,,,,Field Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"סמ""ג סיירת משמר הגבול",,,,,,,Police,,,,,,,,,,,,"נמוכה - בט""ש",הפרות סדר על רקע בטחוני או פלילי,טיפול בחומרים מסוכנים,,,,,"חיילים סדירים, השלמת טירונות, גיבוש בן יום",,,,,,,,,,,,,,,,,,,,,
,Sayeret Matkal,,,,,,,Intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26, 27, 31",
Sayeret Charuv 484,Sayeret Charuv 484,,,,,,,Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25, 27",
Sayeret Nahal Arava 150,Sayeret Nahal Arava 150,,,,,,,Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sayeret Rimon,Sayeret Rimon,,,,,,,Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,
Sayeret Shaked 424,Sayeret Shaked 424,,,,,,,Regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21, 25, 26",
Unit 30,Unit 30,,,,,,,Infantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit 101,Unit 101,,,,,,,Infantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haganah,ההגנה,,,IDF,,1920,,Haganah,,,,,,,15 ביוני,,,"בתחילת חודש מרס הותקפה תל-חי ושישה ממגיניה נהרגו, ובראשם המפקד יוסף טרומפלדור. לאחר כמה שבועות פרצו מהומות דמים בירושלים (""מאורעות תר""ף - 1920"")",הקמת המדינה,,הגנה על היישוב היהודי,בניין כוח צבאי,,,אחדות העבודה,,,,,,,,,,,,,,השומר,"צה""ל",,"חיים שטורמן, ירחמיאל לוקצ'ר ויהושע אייזיק",,הפעולות של גרמניה במזרח אפריקה בשנות העשרים ובעיקר מאלה של פאול פון לטו-פורבק,,,14,
Nodedet,הנודדת,,,Nodedet,Haganah,1929,1933,Haganah,Jerusalem,Preventive,,,,,,הגנה דינאמית,מיליציה,"מאורעות תרפ""ט",,נמוכה,הגנה מקומית,,,תל-אביב,ההגנה,,,,,,,3 יחידות,36 לוחמים,2 יחידות,,,"משאיות, מכונית, אופנועים",,,,,אלימלך זליקוביץ (כינוי: זליק או אבנר),אלימלך זליקוביץ ,,,,,
Nodedet,מחלקות נודדות,,Nodedet,Nodedet,Haganah,1931,1933,Haganah,Jordan Valley,Preventive,,,,,אוגוסט,הגנה דינאמית,מיליציה,,,נמוכה,הגנה מקומית,,,תל-אביב,ההגנה,,בחירה על בסיס תעוזה ויכולת למלא משימות מגוונות,,,"אימוני שדה, רימוני יד, ירי ברובים ובמקלעים, האימונים היו מורכבים יותר מאלה של אנשי ה'שורה' בתל-אביב",,2 יחידות רכובות  ,,,,,כלי רכב אישיים ואופנועים,,ההגנה,,,,,,,,,
Nodedet ,הנודדת,,Nodedet,Nodedet in Jerusalem,Haganah,1936,1939,Haganah,Tel Aviv,Preventive,,,,,17 באפריל,הגנה דינאמית,מיליציה,המרד הערבי,,נמוכה,הגנה מקומית,,,תל-אביב,ההגנה,,,,,,,,70 איש,,,,,,,,,,,,,,,
Nodedet in Jerusalem,הנודדת בירושלים,Yitzhak Sadeh,Nodedet,Mobile Guard,Haganah,1936,1939,Haganah,Jerusalem,Preventive,,,,,,הגנה דינאמית,מיליציה,המרד הערבי,מעבר לפלוגות השדה,נמוכה,הגנה דינאמית ,,בית וגן,ירושלים,ההגנה,,חברי קבוצת היכון,,,"מארב והסתערות, מעבר מהגנה סטטית על השכונה לשיטת מארבים על הדרך אל השכונה וכן ירי אפקטיבי לעבר בסיס האויב בעין כרם",,,,,,תתי מקלע רימונים ,טנדרים,,הנודדת,,,יצחק שדה,"צבי ספקטור, ישראל בן יהודה (עבדו)",,,,15,Yitzhak Sadeh
