Unit,Year Established,Affiliation,Predecessor,Successor,Command
"Haganah ",1920,,HaShomer,IDF,
Nodedet Tel-Aviv,1929,Haganah,,Nodedet,Jerusalem
Nodedet Jordan Valley,1931,Haganah,Nodedet,Nodedet,Jordan Valley
Nodedet in Jerusalem Kiryat Anavim,1936,Haganah,Nodedet,Mobile Guard,Jerusalem
"Nodedet ",1936,Haganah,Nodedet,Nodedet in Jerusalem,Tel Aviv
Guards of the Trains and the Ports,1937,"British Army, Haganah",Guards of the Trains and the Ports,Guards of the Trains and the Ports,North
Filed Companies,1937,Haganah,Mobile Guard,Filed Companies,North
Mobile Guard,1937,Haganah,Nodedet in Jerusalem,Filed Companies,North
Special Night Squad,1938,"British Army, Haganah",Pipeline Defenders Platoon,Palmach,North
Pipeline Defenders Platoon,1938,"British Army, Haganah",Pipeline Defenders Platoon,Special Night Squad,North
Special Operations Unit,1939,Haganah,Filed Companies,Palmach,Center
"Commando 51🇬🇧 ",1940,British Army,Commando 51,Special Interrogation Group – SIG,North Africa
The Syrian Platoon,1940,Palmach,Filed Companies,The Arab Squad,North
Boom Defense,1941,British Army,Boom Defense,Boom Defense,
Scouts,1941,Palmach,,The 7th Company,
The German Platoon,1941,Palmach,,The Balkan Platoon,North
Palmach,1941,"British Army, Haganah",Filed Companies,IDF,
The Arab Squad,1942,Palmach,The Syrian Platoon,Intelligence Service 18 805,Haifa
Special Interrogation Group – SIG🇬🇧,1942,"British Army, Intelligence",Commando 51,SAS,North Africa
Masqueraders - Intelligence 18,1943,"IDF, Palmach",The Arab Squad,"Intelligence 13 Wing, Intelligence Service 18 805",Haifa
The Balkan Platoon,1943,Palmach,,The Balkan Platoon,
Reconnaissance Company 7,1944,"4th Battalion, Palmach",Scouts,The 4th Battalion,
The 4th Battalion,1944,Palmach,,The 4th Battalion,Center
Jewish Paratroops🇬🇧,1944,British Army,"The Balkan Platoon, The German Platoon",,Europe
Palyam Sea Company,1945,"Palmach, Palyam",Palyam Sea Company,Flotilla 13,Navy
Negev Animals 1 Shiloni,1947,"Negev Brigade, Palmach",Negev Animals 1 Shiloni,Negev Animals 1 Shiloni,South
Negev Animals 2 Beeri,1947,"Negev Brigade, Palmach",Negev Animals 2 Beeri,Negev Animals 2 Beeri,South
Port Company,1947,Palmach,,,Navy
Naval Commandos,1948,"Palmach, Palyam",Naval Commandos,Flotilla 13,Navy
Maritime Demolition Unit,1948,"Palmach, Palyam",Maritime Demolition Unit,Flotilla 13,Navy
Commando Battalion 75 French Commando,1948,"9 Brigade, Palmach",Commando Battalion 75 French Commando,Commando Battalion 75 French Commando,South
Commando Battalion 89,1948,"8 Brigade, Palmach",Commando Battalion 89,Commando Battalion 89,Center
Reconnaissance Company 9th Battalion,1948,"9 Battalion, Negev Brigade, Palmach",Reconnaissance Company 9th Battalion,Reconnaissance Company 9th Battalion,South
Air Force,1948,IDF,,,
Divers,1948,"Palmach, Palyam",Divers,Flotilla 13,Navy
Navy,1948,IDF,,,
Police,1948,,,,
Intelligence Service 805,1948,Intelligence,Intelligence Service 18 805,Intelligence Service 18 805,AMAN
Military Intelligence Directorate,1948,IDF,,,
Bomb Disposal Unit,1948,Engineering,Bomb Disposal Unit 1948,Bomb Disposal Unit 1948,General
