Unit,Affiliation,Audio-video,Battalion,Bibliography Attachment,Book,Brigade,Command,Company,Competing Units,Date,Date Dissolved,Designation - Primary,Designation Secondary,Dissolve Trigger,Division,Duration of Service,Fate,Final Affiliation,Formation Date,Formation Trigger,HEBREW,IDF INDIVIDUALS,Individuals Glossary copy,Individuals1,Individuals2,Inspired by,Level of Conflict,Location,Number of Soldiers Formed,Number of Soldiers Later,Operational Attributes,Operations,Organizational Attributes,Predecessor,Predecessor Unit,Prestige,Prestige Cultivation,Profession,Reference,Reference 1,References,Regional Command,Role,Selection,Size,Size Formed,Sub-Unit,Successor,Successor Unit,TOC,Tactics,Tags,Training,Training Attributes,URL,Unit 1,Vehicles,Wars and Operations,Weapons,"Year Disbanded ",Year Established,כותרת אנליטית
Reconnaissance Company 679,Armor,,,,,,North,,,,,,,,,,,,,,"פלס""ר חטיבת 679 מילואים",,,,,,,,,,,,,Reconnaissance Company 679,,,,,,,,,Armor Reconnaissance,,,,,Reconnaissance Company 679,,,,,,,,,,,,0,1970,
Yagal,"Police, YAMAS",,,,,,,,,,,,,,,,,,,,"יג""ל",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,
Defensive Divers 707,Navy,,,,,,Navy,,,,,עבודות תת מימיות בעלות אופן טכני,"החל משנת 1965  פעילות בט""ש ביחד עם סיירת שקד ועם גולני, תחרות עם שייטת 13",בהנהגת שאול זיו היחידה לקחה על עצמה תפקידים התקפיים הוגדרה כיחידת פשיטה. ולא הייתה עוד הצדקה להפרדה משייטת 13,,,,,,הסרת נטל הצלילה ההגנתית מהשייטת,צוללים הגנתיים 707 בהמשך יחידה לחבלה ימית,Edmond Wilhelm Brillant (https://www.notion.so/Edmond-Wilhelm-Brillant-dd75ccdf151c466a80484a3ecc82048e?pvs=21),," אדמונד וילהלם ברילנט","שאול זיו, נדב קלע, דב בר, יוסי דר, איתמר שחם",,נמוכה,,,,,,,Flotilla 13,"יחידת האמודאים, מספנות חיל הים ומדור בקרת נזקים",,הניסיון להעביר לוחמי שייטת ליחידה נתפש כפחיתות כבוד,,,,,,Defensive Diving,חיילים שלא השלימו מסלול בשייטת 13 ולאחר מכן גיוס ישיר,,יחידה קטנה בת שבעה עשר לוחמים ששילבה חיילים סדירים ואנשי קבע,,"Flotilla 13, Yaltam Underwater Missions","שייטת 13 ילת""ם",,,,,,,,,,,1974,1962,
Commando Battalion 89,"8 Brigade, Palmach",,,,,,Center,,,,,גדוד פשיטה ממוכן,,"פירוק הפלמ""ח",,,,,,מלחמת השחרור,גדוד קומנדו 89,,,משה דיין,"יוחנן פלץ, טדי דיופרה (איתן)",,גבוהה,תל ליטוינסקי - תל השומר,,,,,,Commando Battalion 89,"חטיבה 8 של הפלמ""ח",,,,,,,,Raid,,Battalion,,,Commando Battalion 89,,,,,,,,,,קרבות עשרת הימים,,1948,1948,
Special Interrogation Group – SIG🇬🇧,"British Army, Intelligence",,,,,,North Africa,,,,,פעולות קומנדו מאחורי הקויים הגרמנים,,,,,,British Army,,מלחמת העולם השניה,היחידה הגרמנית יוצאי גדוד 51 Special Interrogation Group – SIG,Israel Carmi (https://www.notion.so/Israel-Carmi-e5d8ed81108542f8aa104028d0090221?pvs=21),,"קפטן בק, לוטאנאט ראסל","קארל כהנא, איתן שפיר, ישראל כרמי",,,,38 יהודים מתנדבים מצבא צ'כיה החופשית,,קומנדו,,מקצועי,Commando 51,גדוד 51,,,,,,,צפון אפריקה,Commando,מתנדבים דוברי גרמנית יוצאי גדוד 51,,פלוגה,,SAS,,16,"התחזות, לוחמה זעירה, סיור",,,היחידה אומנה בהתאם למקובל בצבא הגרמני.,,,,מלחמת העולם השניה המדבר המערבי,ציוד של צבא גרמניה,1942,1942,
Givati Brigade 84,"162 Division, Southern Command",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983,
Pipeline Defenders Platoon,"British Army, Haganah",,,,,,North,,,,,,,,,,,British Army,,,מחלקת משמר צינור הנפט פלוגת האש,,,,,,,,,,הגנה דינאמית,,מיליציה,Pipeline Defenders Platoon,,,,,,,,,Preventive,,,,,Special Night Squad,,,,,,,,,,,,1939,1938,
98 Division - The Fire Formation,Central Command,,,,,,Center,,,,,,,,,,,,,,עוצבת האש,,,,,,,,,,,,,98th Paratroopers Division,,,,,,,,,Air assaults,,Division,,,98th Paratroopers Division,,33,,,,,,,,,,,1974,
Samson's Foxes Givati,"Givati Brigade, Infantry",,,,,,South,,,,,"חי""ר ממוכן",,,,,,,,מלחמת השחרור בעקבות התרשמות מהישגי חיות הנגב,"שועלי שמשון - פלוגה ב', גדוד 54, גבעתי",,,"שמעון אבידן, אריה שפק",,,גבוהה,,,,,,"חיר""ם",Samson's Foxes Givati,חיל השדה,,שועלי שמשון,,,,,דרום,Deep Reconnaissance,,,,,Samson's Foxes Givati,,,,,,,,,"ג'יפים, קומנדקר, משאית, משוריינים",,,1956,1948,
Sayeret Nahal,"Infantry, Nahal Brigade 933",,,,,,Center,,,,,,,,,,,,,,"פלס""ר צור בהמשך סיירת נח""ל",,,,,,,,,,,,,Sayeret Nahal,,,,,,,,,Reconnaissance,,Company,,,Sayeret Nahal,,,,,,,,,,,,2002,1983,
Reconnaissance Anti-Tank 582 80,Paratroopers,,,,,,Center,,,,,"הפעלת משולבת של תול""רים, ויחידת הסיור - מעין גדס""ר במתכונת ראשונית, חה""ן","בט""ש",הצבא לא תמך בהקמה ולא ראה צורך בקיום היחידה,,,,,,דוידי חיפש דרכים לצקת תוכן במושג הסיירות,"גדוד סיור ונ""ט 582 של חטיבת המילואים 80",,,מיכה בן-ארי קופסטה,,"עמי-יעל אקסלרוד, אמיר קרן, נתן שורני",גבוהה,,,,,,,Reconnaisance Anti-Tank 582 80,חטיבת הצנחנים,,,,,,,,Reconnaissance Battalion,מילואים,,,,Reconnaisance Anti-Tank 582 80,פלוגות העורב,,לא עוצבה לגמרי. היעד של מקימי הגדוד היה לפעול בעומק שטח האויב בעת מלחמה,,,,,,"נגמ""שים, ג'יפים",תקופת מלחמת ההתשה,"תול""רים",1972,1968,
Nahal Brigade 933,"162 Division, Infantry, Southern Command",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982,
Battalion for Air Assignments (Shaldag),"Infantry, Sayeret Matkal",,,,,,Center,,,,,,,,,,,,,,הגדוד למשימות חיל האוויר,,,,,,,,,,,,,Battalion for Air Assignments (Shaldag),,,,,,,,,Deep Reconnaissance,,,,,Battalion for Air Assignments (Shaldag),,,,,,,,,,,,1984,1977,
114 Squadron Night Leaders Squadron,Air force,,,,,,Air Force,,,,,Airborne infiltrations missions behind enemy lines; Delivery of equipment; Search and rescue,,,,,,,"January 1, 1966",,טייסת מובילי הלילה,,Uri Yarom,,,,גבוהה נמוכה,,,,,,,114 Squadron Night Leaders Squadron,,,,,,,,,Landing of forces,,,,,114 Squadron Night Leaders Squadron,,22,,Avraham Arnan,,,,,"Aérospatiale SA 321 Super Frelon; ",,,,1966,
Golani Engineer Company,"Golani Brigade, Infantry",,,,,,North,,,,,,,,,,,,,,"פלחה""ן גולני סדיר",,,,,,,,,,,,,Golani Engineer Company,,,,,,,,,,,,,,Golani Engineer Company,,,,,,,,,,,,2001,1977,
Yachmam B - The Shahaf Seagull Battalion,Field Intelligence,,,,,,North,,,,,"איתור מחבלים, ויזינט - מודיעין קרבי סגירת מעגלי אש, מטרות תשתית וסיוע למערכות הגנה על גדודים שפועלים בשטח, משגרי קטיושות","איתור חדירות, איסוף מידע על היערכות חיזבאללה",מיזוג עם שחף,,,,,,"הפיכת צס""מ ליחידה סדירה",שחף - פלגת יחמם ב' פלגת מוביל מדלגת 869 שחף,,,,,,,,,,,,,The Shahaf (Seagull) Battalion,ניצן,,,,,,"Asher, Daniel (2013): Battlefield Intelligence. The Observer before the Camp. Combat Intelligence Collection Corps.","צפון אוגדה 91 גבול סוריה, בעיקר לבנון",Visint,,Platoon,,,The Shahaf (Seagull) Battalion,,,,,,,,,,,,0,2000,
Border Police Reconnaissance Unit - South,Police,,,,,,South,,,,,,,,,,,,,,סיירת מגב דרום,,,,,,,,,,,,,Israeli Police Border Reconnaisance - South,,,,,,,,,COIN,,,,,Israeli Police Border Reconnaisance - South,,,,,,,,,,,,,2008,
Unit 5700,"Air force, Wing 7",,,,,,Nevatim,,,,,,,,,,,Command of the Special Air Forces,,,יחדת הנחתה קדמית 5700,,,,,,,,,,,,,Unit 5700,,,,,,,,,,,,,,Unit 5700,,,,,,,,,,,,,1972,
Yamas West Bank,"Police, YAMAS",,,,,,,,,,,"בט""ש איסוף מודיעין, חיסולים וטיפול בהפרות סדר שונות, מעצרים",סיוע למשטרה מאבק בפשיעה - בתוך ישראל,,,מקצועי קבע,,,,האינתיפאדה הראשונה,"ימ""ס איו""ש מסתערבים ",,,אלי אברהם,,,"נמוכה - בט""ש",,,,,,,,"ימ""מ",,,,,,,גדה מערבית,,"גיבוש בן שלושה ימים אחרי שירות בצה""ל",,,,,,36,,,חמישה חודשים,,,,,,,0,1991,
Lion King Malar,Armor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021,
"Yamas ","Police, Tactical Brigade Border Police",,,,,,South,,,,,צליפה מרדפים מוסקים,סיוע למשטרה מאבק בפשיעה - בתוך ישראל,,,מקצועי קבע,,,,,,,,,,,"נמוכה - בט""ש",,,,,,,Yamas Aravah,"השראה: שקד, זיקית, רימון",,,,,,,דרום,,"גיבוש בן שלושה ימים אחרי שירות בצה""ל",,,,Yamas Aravah,,36,,,"חמישה חודשים ",,,,,,,0,1990,
Sayeret 525 Reconnaissance,"Regional, Southern Command",,,,,,South,,,,,המנעה,,נטמעה בשקד,,,,,,"הסתננויות, בערבה ובהר הנגב ",סיירת 525,,,אהרון גיל,"סאלח אל-הייב, אמציה חן פצי",,נמוכה,,,,,,,Sayeret Shaked 424,יחידה 300,,,,,,,דרום,Preventive,,,,,Sayeret Shaked 424,סיירת שקד,,"מרדפים, מיקוש",,,,,,ג'יפים,,,1964,1963,
Airborne  Reconnaissance 73,"Paratroopers, Paratroopers Brigade 35",,,,,,Tel Nof,,,,,,,,,,,,,,,,,,,,,,,,,,,Airborne  Reconnaisance 73,,,,,,,,,Reconnaissance,,,,,Airborne  Reconnaisance 73,,,,,,,,,,,,0,1957,
