DATE,NAME,Number of Units,Units,Branch,SCALE,Location,Latitude,Longitude,Type of Operation,Planning,Tactical Outcomes,Casualties,Enemy Casualties,Details,Air Force,Link
"July 5, 1967",Barzelit,1,Shayetet 13,Navy,Small,Kantara,30.8666667,32.3166667,Mines,Planned,Succees,,,,No,
"March 21, 1968",Tofet,3,"Sayeret Matkal,Armor,Paratroopers",Land,Large,Karame,35.139828,36.729417,Raid,Planned,Partial,28,,,Helicopters and Air Support,
"March 21, 1968",Asuta,4,"Paratroopers,Sayeret Paratroopers,Sayeret Shaked,Armor","Paratroopers,Sayeret Paratroopers,Sayeret Shaked,Armor",Large,"Safi, Fifa, Dahal",30.9354,35.456909,Raid,Planned,Succes,,74,,Helicopters,
"October 31, 1968",Helem 35,1,Sayeret Paratroopers,Land,Medium,Nag Hammadi,26.048802,32.240311,transformer demolition,Planned,Success,,,Operation Shock,,
"October 31, 1968",Helem 2,1,,Land,Medium,Qena Bridge,26.1866667,32.6116667,Bridge demolition,Planned,Partial succes,,,,Helicopters,
"October 31, 1968",Helem 3,1,,Land,Medium,Nag Hammadi,26.048802,32.240311,Dam demolition,Planned,Partial,,,,,
"December 1, 1968",Iron,3,"Paratroopers,Sayeret Paratroopers",Land,Small,,29.9697139,35.9034139,Bridge demolition,Planned,,,,,,
"December 28, 1968",Teshura,2,"Sayeret Matkal,Sayeret Paratroopers",Land,Medium,Beirut Airport,33.820833,35.488333,Raid Demolition,Planned,Success,,,,Helicopters,
"January 30, 1969",Lahav,1,Shayetet 13,Navy,Small,Suez Bay (North West),29.9166667,32.5333333,Mines,Planned,Failure,,,,,
"March 13, 1969",Bustan 2,1,Shayetet 13,Navy,Small,Patrol Island Suez Bay North West,29.9166667,32.5333333,Infrastructure Demolition,Planned,Partial,,,,,
"April 20, 1969",Lahav 32,1,Shayetet 13,Navy,Small,Green Island,29.911756,32.529734,Recon,Planned,Success,,,,,
"April 29, 1969",Bustan 22,1,Sayeret Paratroopers,Land,Medium,Nag Hammadi,26.048802,32.240311,Infrastructure Demolition,Planned,Partial,,,,Helicopters,
"April 30, 1969",Batzoret,1,,,Medium,Nag Hammadi,26.048802,32.240311,Bridge demolition,Planned,Partial,,,,,
"May 8, 1969",Asuta 12,2,Golani,Land,Medium,Wadi Al Yabas,31.1812111,35.9397444,Infrastructure Demolition,Planned,Success,,,,,http://golani.millenium.org.il/Web/Units/Palsar/WarsNOps/JORDEN69/Default.aspx
"May 11, 1969",Bulmus 3,2,"Sayeret Matkal,Shayetet 13","Land,Navy",Small,Kantara Port Said Road West to the sweet water canal,31.265289,32.301866,Ambush,Planned,,,2 Soldiers,,,
"May 11, 1969",Bulmus 4,2,"Sayeret Matkal,Shayetet 13","Land,Navy",Small,Kantara Port Said Road,31.265289,32.301866,Ambush,Planned,Failure,1,,,,
"June 21, 1969",Bulmus 5,1,Shayetet 13,,Small,El Adabiya,29.87274,32.467621,Raid,Planned,Success,,32 Soldiers,Bulmus 5 - 5 Buildings demolished,,
"June 23, 1969",Ama 1,4,"Shayetet 13,Armor,Unit 707",,Medium,Rur Canal,32.6687167,35.6210083,Infrastructure Demolition,Planned,Success,,,,,
"June 30, 1969",Bustan 37,1,Sayeret Paratroopers,,Small,Suhaj West to the nile,26.55,31.7,Infrastructure Demolition,Planned,Success,,,,Helicopters,
"July 1, 1969",Bustan 25a,2,Paratroopers,,Medium,Outposts Suez Bay,29.9166667,32.5333333,Raid,Planned,Partial success,,7 Soldiers,,Helicopters,
"July 19, 1969",Bulmus 6,2,"Shayetet 13,Sayeret Matkal",,Large,Green Island,29.911756,32.529734,Raid,Planned,Partial success,6,70-80,Bulmus 6 Repreisal Know and the beginning of Israel's counter attrition,,
"August 28, 1969",Bustan 39,2,"Golani,Paratroopers",,Medium,Mankabed South of Asyut,27.1827778,31.1827778,Nartan Mortars,Planned,Success,,,,,
"September 8, 1969",Escort,1,Shayetet 13,,Small,Ras Sadat,29.7833333,32.4333333,Underwater demolition,Planned,Partial success,3,,Accidental activation of the self explosion device,,
"September 9, 1969",Raviv,4,"White Bear,Unit 707,Sayeret Matkal",,Large,80km Abu Daraj Ras Zafrana,29.9,32.45,Raid,Planned,Success,1,100 soldiers,,,
