term_raw,universal_title,title_code,definition_basis,definition_basis_code,author,profession,discipline,country,year,page,provenance,cite
Special Operations Forces (Approach 1 of 2; Leslau),Special Operations Forces,4,Organization*Operators,8,,1,Political Science,Israel,2010,511,original,2010
Special Operations Forces (Approach 2 of 2; Leslau),Special Operations Forces,4,Operators,3,,1,Political Science,Israel,2010,512,original,2010
Special Operations Forces,Special Operations Forces,4,Role and Function,4,,1,Political Science,Israel,2010,512,original,2010
Special Operations Forces (as defined by others),Special Operations Forces,4,Organization,2,,3,"International Relations, Defence Studies",Australia,2004,3,original,2004
Special Operations Forces,Special Operations Forces,4,Operators,3,,3,"International Relations, Defence Studies",Australia,2004,4,original,2004
Special Operations Forces,Special Operations Forces,4,Role and Function*Operators,10,,2 (Official NATO definition),,United States,2008,ii,original,2008
Special Operations Forces,Special Operations Forces,4,?,?,,2 (Official NATO definition),,United States,2008,5,original,2008
Special Operations Forces,Special Operations Forces,4,Designation,1,,Simons: 1  Tucker: 1,"Simons: Anthropology, Defense Studies  Tucker: History, Defense Studies",Simons: United States  Tucker: United States,2003,80,original,2003
Special Operations Forces,Special Operations Forces,4,Designation,1,,2,,United States,1989,4,original,1989
Special Operations Forces,Special Operations Forces,4,Role and Function,4,,?,?,?,1994,Foreword,original,1994
Special Operations Forces,Special Operations Forces,4,Operators,3,,2,,United States,1987,112,original,1987
Special Operations Forces,Special Operations Forces,4,?,?,,2,,United States,1991,Abstract,original,1991
Special Operations Forces,Special Operations Forces,4,Organization,2,,2,,United States,1991,2,original,1991
Special Operations Forces,Special Operations Forces,4,?,?,,2,,United States,1991,2,original,1991
Special Operations Forces,Special Operations Forces,4,Designation,1,,2,,United States,1991,29,original,1991
Special Operations Forces (U.S.),Special Operations Forces,4,Designation,1,,3,"Government, Engineering",United States,1994,52,original,1994
Special Operations Forces,Special Operations Forces,4,Designation*Organization,5,,2,,United States,1997,195,original,1997
Special Operations Forces,Special Operations Forces,4,Role and Function,4,,1,"Economics, International Politics",United Kingdom,2009,972-974,original,2009
"Special Operations Forces (""Warrior"")",Special Operations Forces,4,Operators,3,,1,Sociology,United Kingdom,2009,654,original,2009
Special Operations Forces (Characteristics of),Special Operations Forces,4,Operators,3,,1,Sociology,United Kingdom,2009,649/654,original;facet_of:Special Operations Forces,2009
Special Operations Forces (Strategic Utility),Special Operations Forces,4,Role and Function,4,,1,Political Science,Israel,2010,512,original;facet_of:Special Operations Forces,2010
Special Operations Forces,Special Operations Forces,4,Designation,1,,3,"International Relations, Defence Studies",Australia,2004,15,original,2004
Special Operations Forces (Mode of Operation),Special Operations Forces,4,Role and Function,4,,2,,United States,2008,8,original;facet_of:Special Operations Forces,2008
Special Operations Forces (Purposes),Special Operations Forces,4,Operators*Role and Function,10,,1,,United States,1997,193,original;facet_of:Special Operations Forces,1997
Special Operations Forces (Role),Special Operations Forces,4,Designation*Operators,6,,1,,United States,1997,193,original;facet_of:Special Operations Forces,1997
Special Operations Forces (v. Traditional Forces),Special Operations Forces,4,Role and Function,4,,1,,United States,1997,195,original,1997
Special Operations Forces,Special Operations Forces,4,Designation,1,,1,,United States,1997,195,original,1997
Special Operations Forces,Special Operations Forces,4,Designation,1,,2,,United States,1993,3,original,1993
Special Operations Forces,Special Operations Forces,4,Operators,3,,2,,United States,1993,5,original,1993
Special Operations Forces,Special Operations Forces,4,Designation*Role and Function,7,,2,,United States,1997,16-20,original,1997
Special Operations Forces,Special Operations Forces,4,Operators,3,,2,,United States,1996,16-21,original,1996
Special Operations Forces,Special Operations Forces,4,Organization*Operators,8,,3,Public and International Affairs,United States,1997,7-Jun,original,1997
Special Operations Forces,Special Operations Forces,4,Operators,3,,2,,United States,1993,5 to 6,original,1993
Special Operations Forces (Responsibilities),Special Operations Forces,4,Role and Function,4,,2,,United States,1993,3,original;facet_of:Special Operations Forces,1993
"Special Operations Forces (Missions; for details on each, see doc)",Special Operations Forces,4,Role and Function,4,,2,,United States,1997,194,original;facet_of:Special Operations Forces,1997
Special Operations Forces (Areas of Collateral Activity),Special Operations Forces,4,Role and Function,4,,2,,United States,1997,194,original;facet_of:Special Operations Forces,1997
Special Operations Forces (Missions),Special Operations Forces,4,Role and Function,4,,2,,United States,1989,4 to 5,original;facet_of:Special Operations Forces,1989
(CIA) Special Operations Forces,Special Operations Forces,4,Organization,2,,2,,United States,1987,21,original,1987
(Army) Special Operations Forces,Special Operations Forces,4,Organization,2,,2,,United States,1987,27,original,1987
Special Operations Forces (Organization),Special Operations Forces,4,Organization,2,,2,,United States,1987,32-37,original;facet_of:Special Operations Forces,1987
Special Operations Forces (Groups),Special Operations Forces,4,Role and Function,4,,2,,United States,1987,34-40,original;facet_of:Special Operations Forces,1987
SOF [Gray],Special Operations Forces,4,Operators*Role and Function,,"Gray, Colin S.",1,Political Science / Strategy,United Kingdom,1999,4,added-2026-06-06;source:SOF Articles (Zotero),Gray 1999
SOF [Gray],Special Operations Forces,4,Role and Function,4,"Gray, Colin S.",1,Political Science / Strategy,United Kingdom,1999,2,added-2026-06-06;source:SOF Articles (Zotero),Gray 1999
Special operations [Gray q. Arquilla],Special Operations Forces,4,Role and Function,4,"Arquilla, John (q. in Gray)",1,Strategy,United States,1999,note 3,added-2026-06-06;source:SOF Articles (Zotero),Arquilla 1999
SOF as elite [Gray],Elite Forces,2,Operators,3,"Gray, Colin S.",1,Strategy,United Kingdom,1999,8,added-2026-06-06;source:SOF Articles (Zotero),Gray 1999
"SOF [Canadian doctrine, q. Horn]",Special Operations Forces,4,Organization*Operators*Role and Function,,CANSOFCOM (q. in Horn),3,Doctrine,Canada,2014,67,added-2026-06-06;source:SOF Articles (Zotero),CANSOFCOM 2014
"SOF [WWII triad, Horn]",Special Operations Forces,4,Operators*Organization*Role and Function,,"Horn, Bernd",3,Military History,Canada,2014,66,added-2026-06-06;source:SOF Articles (Zotero),Horn 2014
"Commando [Boer/original, Dobbie]",Other Units,5,Organization*Operators,8,"Dobbie, Elliott V. K.",1,Philology / Linguistics,United States,1944,81,added-2026-06-06;source:SOF Articles (Zotero),Dobbie 1944
"Commando [WWII official, Dobbie]",Special Forces,1,Designation*Organization*Role and Function,,"Dobbie, Elliott V. K.",1,Philology / Linguistics,United States,1944,85,added-2026-06-06;source:SOF Articles (Zotero),Dobbie 1944
SOF cross-national title equivalence [Sliusarenko],Special Operations Forces,4,Designation*Role and Function,7,"Sliusarenko, Andrii",3,Military History,Ukraine,2018,84,added-2026-06-06;source:SOF Articles (Zotero),Sliusarenko 2018
SOF as 'third force' [Sliusarenko q. Safonov],Special Operations Forces,4,Role and Function,4,Safonov (q. in Sliusarenko),2,Military,Ukraine,2018,76,added-2026-06-06;source:SOF Articles (Zotero),Safonov 2018
Special Forces original mission [Johnson],Special Forces,1,Role and Function,4,"Johnson, Matthew",1,Strategic Studies,United States,2006,276,added-2026-06-06;source:SOF Articles (Zotero),Johnson 2006
