itemID,author,year,title,has_pdf,pdf
2531,"Płk, candidate of the historical sciences, deputy professor, Deputy of the Army Academy Commander for Research of the Petro Sahaidachnyi National Army Academy of Ukraine (Lviv)",2018,Conceptual organizational and functional models of the army special operations forces in the leading NATO countries,True,/Users/amipedahzur/Zotero/storage/UDL4JIVY/5 sliusarenko-conceptual organizational.pdf
4378,Bukkvoll,2015,Military Innovation Under Authoritarian Government – the Case of Russian Special Operations Forces,True,/Users/amipedahzur/Zotero/storage/ET2HVTPJ/Military Innovation Under Authoritarian Govern.pdf
2553,Skipper,2014,Relationship of Combat Experiences and Alcohol Misuse Among US Special Operations Soldiers,True,/Users/amipedahzur/Zotero/storage/IGG5KJM4/Skipper et al. - 2014 - Relationship of Combat Experiences and Alcohol Mis.pdf
3355,Bryan,2014,Posttraumatic Stress Symptoms and Work-Related Accomplishment as Predictors of General Health and Medical Utilization Among Special Operations Forces Personnel,True,(missing) /Users/amipedahzur/Zotero/storage/7TBD8JEW
3773,Horn,2014,The Strategic Utility of Special Operations Forces,True,/Users/amipedahzur/Zotero/storage/I6322BWH/The Strategic Utility of Special Operations Fo.pdf
3785,Deruelle,2014,The Sixteenth-Century Antecedents of Special Operations ‘Small War’,True,/Users/amipedahzur/Zotero/storage/ZQDK8EA7/The Sixteenth-Century Antecedents of Special 1.pdf
4047,Martin,2014,Zero dark squared: Does the US benefit from more Special Operations Forces?,True,(missing) /Users/amipedahzur/Zotero/storage/HIQ8463D
1194,Melkonian,2011,Building Project Capabilities in PBOs: Lessons from the French Special Forces,True,(missing) /Users/amipedahzur/Zotero/storage/2J5KKUZX
4435,Leslau,2011,The IDF Special Operations Forces in the 21st Century,True,(missing) /Users/amipedahzur/Zotero/storage/IZGVR52S
1184,Holcomb,2007,Causes of death in US Special Operations Forces in the global war on terrorism - 2001-2004,True,(missing) /Users/amipedahzur/Zotero/storage/QB64RPXI
2541,Flint,2006,Development of the Special Forces in the Second World War,True,(missing) /Users/amipedahzur/Zotero/storage/3B3WZHCV
4034,Johnson,2006,The Growing Relevance of Special Operations Forces in U.S. Military Strategy,True,"/Users/amipedahzur/Zotero/storage/S536FR74/Johnson, The Growing Relevance of Special Operations Forces in US Military Strategy, 2006 (2).pdf"
726,Connelly,2005,"Are you Tough Enough? The Image of the Special Forces in British Popular Culture, 1939–2004",True,/Users/amipedahzur/Zotero/storage/PT2Z3EIS/Are you tough enough.pdf
554,Horn,2004,When cultures collide: The conventional military/SOF chasm,True,/Users/amipedahzur/Zotero/storage/GV4X8JXQ/WHEN CULTURES COLLIDE - SOF.pdf
720,Simons,2003,United States special operations forces and the war on terrorism,True,/Users/amipedahzur/Zotero/storage/VN66UHZP/Tucker SOF_and_War_on_Terrorism (1).pdf
3770,Heffner,2003,Commitment to Nested Collectives in Special Operations Forces.,True,/Users/amipedahzur/Zotero/storage/HD2A5FXJ/Commitment to nested collectives in Special Op.pdf
4033,Kirby,2000,Why Don't Minorities Join Special Operations Forces?,True,(missing) /Users/amipedahzur/Zotero/storage/BGTQ77ZH
3787,Gray,1999,Handfuls of Heroes on desperate ventures: When do special operations succeed?,True,"/Users/amipedahzur/Zotero/storage/SMVJIVXE/PARAMETERS, US Army War College Quarterly - Sp.pdf"
4352,Terrill,1997,The nature and value of commando operations during the Egyptian‐Israeli war of attrition,True,/Users/amipedahzur/Zotero/storage/4J4PU332/Terrill - 1997 - The nature and value of commando operations during.pdf
722,Lambakis,1994,“Forty selected men can shake the world”: The contributions of special operations to victory,True,/Users/amipedahzur/Zotero/storage/HBETGX5T/Forty selected men can shake.pdf
2068,Colonel Eldad,1992,Fighting The Egyptian Commando,True,(missing) /Users/amipedahzur/Zotero/storage/8PJHQD8S
2538,M,1985,Special Forces,True,(missing) /Users/amipedahzur/Zotero/storage/5JJ4A53R
790,Thomas,1983,The Importance of Commando Operations in Modern Warfare 1939-82,True,/Users/amipedahzur/Zotero/storage/CNWQ2VC4/Thomas - 1983 - The Importance of Commando Operations in Modern Warfare 1939-82.pdf
2539,Dayan,1950,The Commando Battalion Raids Lod,True,(missing) /Users/amipedahzur/Zotero/storage/7PAQ46T8
789,Dobbie,1944,The Word 'Commando',True,/Users/amipedahzur/Zotero/storage/B2VBPQAT/Dobbie - 1944 - The Word 'Commando'.pdf
