itemID,author,year,title,has_pdf
1,Berman,2012,Capturing Contemporary Innovation: Studying IDF Innovation against Hamas and Hizballah,False
18,Terriff,2006,‘Innovate or die’: Organizational culture and the origins of maneuver warfare in the United States Marine Corps,False
19,Jungdahl,2014,Innovation Inhibitors in War: Overcoming Obstacles in the Pursuit of Military Effectiveness,True
46,Bauer,1966,From cooperation to resistance: the Haganah 1938–1946,False
309,Senor,2010,What Next for the Start-Up Nation?,True
311,Weimann,1983,The Theater of Terror - Effects of Press Coverage,False
312,Bennett,2015,Using Process Tracing to Improve Policy Making: The (Negative) Case of the 2003 Intervention in Iraq,True
313,Ogle,2016,USAF Special Tactics Operator Combat Exposure and Psychological Stress,False
335,Salib,2009,Effect of 7 July 2005 terrorist attacks in London on suicide in England and Wales,True
354,Klein,2010,Toward a Theory of Public Entrepreneurship,True
357,Atzili,2012,"Triadic Deterrence: Coercing Strength, Beaten by Weakness",True
377,Bar-Joseph,2008,Lessons not Learned: Israel in the Post-Yom Kippur War Era,False
394,Moghadam,2008,"Motives for Martyrdom: Al-Qaida, Salafi Jihad, and the Spread of Suicide Attacks",False
397,Tannenwald,2015,Process Tracing and Security Studies,True
398,Mahoney,2015,Process Tracing and Historical Explanation,True
399,Waldner,2015,Process Tracing and Qualitative Causal Inference,True
503,Bar-Kochba,1987,The Armored Patrol - Its Past Achievements and Future Vitality Part 1,False
514,Bar-Kochba,1988,The Armored Patrol - Its Past Achievements and Future Vitality Part 2,False
545,Carland,1984,Differentiating Entrepreneurs from Small Business Owners: A Conceptualization.,True
546,Gerring,2004,What is a Case Study and What is it Good for?,True
549,Berkhouse,1960,DEVELOPMENT AND VALIDATION OF A BATTERY FOR PREDICTING SUITABILITY FOR SPECIAL FORCES,False
554,Horn,2004,When cultures collide: The conventional military/SOF chasm,True
594,Williams,2010,Heuristics and Biases in Military Decision Making,False
598,Williams,2004,Philopoemen's special forces: Peltasts and a new kind of Greek light-armed warfare (Livy 35.27),False
600,Hall,1996,Political Science And The Three New Institutionalisms,False
720,Simons,2003,United States special operations forces and the war on terrorism,True
721,Finlan,2002,British Special Forces and the Falklands conflict: Twenty years on,False
722,Lambakis,1994,“Forty selected men can shake the world”: The contributions of special operations to victory,True
723,Stewart,2016,‘Commando Consciousness’ and Criminality in Post-Second World War Fiction,False
726,Connelly,2005,"Are you Tough Enough? The Image of the Special Forces in British Popular Culture, 1939–2004",True
789,Dobbie,1944,The Word 'Commando',True
790,Thomas,1983,The Importance of Commando Operations in Modern Warfare 1939-82,True
794,Biddle,2007,Strategy in War,False
795,Kokoshin,2015,War and art of war: politological and sociological dimensions,False
901,Reardon,2015,Psychologists Seek Roots Of Terror,False
908,Gilroy,1990,The All-Volunteer Army: Fifteen Years Later,False
909,Barak,2009,The Arab Security Sector: A New Research Agenda for a Neglected Topic,False
911,Holden,1902,The Blockhouse System in South Africa,False
912,Cosgrove,1980,The Boer War and the Modernization of British Martial Law,False
915,Bernier,2007,The Changing Nature of Public Entrepreneurship,False
916,Feaver,1996,"The Civil-Military Problematique: Huntington, Janowitz, and the Question of Civilian Control",True
921,Bonné,1932,The Concessions for the Mosul-Haifa Pipe Line,False
923,Hooks,2011,"The Culture of Military Innovation: The Impact of Cultural Factors on the Revolution in Military Affairs in Russia, the US, and Israel. by Dima Adamsky",False
924,Bennett,1998,The Declining Advantages of Democracy: A Combined Model of War Outcomes and Duration,False
928,Siebold,2007,The Essence of Military Group Cohesion,True
929,Levy,2010,The Essence of the “Market Army”,True
932,King,2007,The Existence of Group Cohesion in the Armed Forces: A Response to Guy Siebold,False
939,Golani,1995,"The historical place of the Czech‐Egyptian arms deal, Fall 1955",True
942,Cohen,1995,"The Israel Defense Forces (IDF): From a ""People's Army"" to a ""Professional Military""-Causes and Implications",True
943,Kober,2008,The IDF in the Second Lebanon War: Why the Poor Performance?,True
947,Kober,2003,"The Intellectual and Modern Focus in Israeli Military Thinking as Reflected in Ma'arachot Articles, 1948-2000",True
950,Dumper,2012,The politics of heritage and the limitations of international agency in contested cities: a study of the role of UNESCO in Jerusalem's Old City,False
951,Starr,2003,The Power of Place and the Future of Spatial Analysis in the Study of Conflict,False
957,Shane,2000,The Promise of Entrepreneurship as a Field of Research,False
963,Hardy,2010,"The relationship between transformational leadership behaviors, psychological, and training outcomes in elite military recruits",True
964,Walt,1991,The Renaissance of Security Studies,False
970,Benjamini,1983,"The six‐day war, Israel 1967: Decisions, coalitions, consequences: A sociological view",False
975,Carpenter,2003,The Strength of Strong Ties: A Model of Contact-Making in Policy Networks with Evidence from U.S. Health Politics,True
976,Meydani,2012,The Supreme Court as a Political Entrepreneur: The Case of Israel,True
977,Watson,1999,The Western Ethical Tradition and the Morality of the Warrior,True
979,Kerby,1981,Pulling Pitch,False
983,Mumford,2013,Proxy Warfare and the Future of Conflict,True
989,Boot,2005,The Struggle to Transform the Military,False
994,Hoorens,1995,"Self-Favoring Biases, Self-Presentation, and the Self-Other Asymmetry in Social Comparison",False
1001,Richard,2009,Measuring Organizational Performance: Towards Methodological Best Practice,True
1004,Mousseau,2002,Market Civilization and Its Clash with Terror,False
1007,Fernandez,2006,Managing Successful Organizational Change in the Public Sector,False
