Name,Born,Died,Link,Details,Bilblography 1,Bibliography 2,Biliography 3,Units
Izz ad-Din al-Qassam,12/19/1882,11/20/1935,https://en.wikipedia.org/wiki/Izz_ad-Din_al-Qassam,Syrian Muslim preacher; immigrated to Palestine ,"Lachman, Shai. 1982. “Arab Rebellion and Terrorism in Palestine 1929-39: The Case of Sheikh Izz Al-Din Al-Qassam and His Movement.” Zionism and Arabism in Palestine and Israel, 52–99.","Schleifer, Abdullah. 1993. “Izz Al-Din Al-Qassam: Preacher and Mujahid.” In Struggle and Survival in the Modern Middle East, edited by Iii And David N. Yaghoubian Edmund Burke, 164–78. UCLA Press.",,
Winston Churchill,11/30/1874,1/24/1965,https://en.wikipedia.org/wiki/Winston_Churchill,British statesman; served as Prime Minister of the UK,"Rankin, Nicholas. 2009. A Genius for Deception: How Cunning Helped the British Win Two World Wars. Churchill’s Wizards. Oxford ; New York: Oxford University Press, USA.",,,
Archibald Wavell,5/5/1883,5/24/1950,"https://en.wikipedia.org/wiki/Archibald_Wavell,_1st_Earl_Wavell
https://www.britannica.com/biography/Archibald-Percival-Wavell-1st-Earl-Wavell ","1st Earl Wavell. senior officer of British Army;
allegiance: UK
rank: Field Marshal","Fort, Adrian. 2009. Archibald Wavell: The Life and Death of the Imperial Servant. London: Jonathan Cape Ltd. Print.","Ferguson, Bernard. 2004. Wavell, Archibald Percival, first Earl Wavell (1883-1950), army officer and viceroy of India. Oxford Dictionary of National Biography. http://www.oxforddnb.com.ezproxy.lib.utexas.edu/view/10.1093/ref:odnb/9780198614128.001.0001/odnb-9780198614128-e-36790. ","Smart, Nick. 2005. Biographical Dictionary of British Generals of the Second World War. Barnesley: Pen & Sword.",
Charles Alvin Beckwith,1/22/1929,6/13/1994,https://en.wikipedia.org/wiki/Charles_Alvin_Beckwith ,"US Army Special Forces officer;
allegiance: US;
rank: colonel","Beckwith, Charlie A and Donald Knox. 2000. Delta Force: The Army's Elite Counterterrorist Unit. New York: Avon Books. USA.","New York Times. 1994. ""Col. Charlie Beckwith, 65, Dies; Led Failed Rescue Effort in Iran."" http://www.nytimes.com/1994/06/14/obituaries/col-charlie-beckwith-65-dies-led-failed-rescue-effort-in-iran.html ",,
David Ben-Gurion,10/16/1886,12/1/1973,https://en.wikipedia.org/wiki/David_Ben-Gurion ,primary national founder of the State of Israel & 1st Prime Minister of Israel,"Frilling, Tuvia. 2005. Arrows in the Dark: David Ben-Gurion, the Yishuv leadership, and rescue attempts during the Holocaust. Translated by Ora Cummings. Madison: University of Wisconsin Press. Print.","Gal, Allon. 2004. ""David Ben-Gurion's Zionist Foreign Policy, 1938-48: The Democratic Factor."" Israel Affairs, vol. 10 issue 13-28.","Tal, David. ""David Ben-Gurion's Teleological Westernism."" Journal of Modern Jewish Studies, vol. 10, no. 3, Nov. 2011. 351-364.",
Neil Ritchie,7/29/1897,12/11/1983,https://en.wikipedia.org/wiki/Neil_Ritchie,"British army officer who served both world wars
allegiance: UK
rank: general","Barnett, Correlli. The Desert Generals. London: Cassell, 1999; Keegan, John, ed. Churchill's Generals. New York: Grove Weidenfeld, 1991.","Mead, Richard. 2007. Churchill's Lions: A Biographical Guide to the Key British Generals of World War II. Stroud (UK): Spellmount Publishers. ","Smart, Nick. 2005. Biographical Dictionary of British Generals of the Second World War. Barnesley: Pen & Sword.",
David Stirling,11/29/1915,11/4/1990,https://en.wikipedia.org/wiki/David_Stirling,"Scottish officer in British Army; founder of Special Air Service
allegiance: UK
rank: Colonel","Cowles, Virginia. 1958. The phantom major; the story of David Stirling and his desert command. New York: Harper. Print.","Mortimer, Gavin. 2007. Stirling's Men: The Inside History of the SAS in World War II. Cassell Military. Print.",,
Dudley Wrangel Clarke,4/27/1899,5/7/1974,https://en.wikipedia.org/wiki/Dudley_Clarke ,"British Army officer; pioneer of military deception operations during WW2
allegiance: UK
rank: Brigadier",Holt. Thaddeus. 2004. The Deceivers: Allied Military Deception in the Second World War. New York: Scribner. Print. ,"News article:
Wilkes, David. ""The name's Bond, Jane Bond: Riddle of the WW2 spy arrested in Spain...dressed as a woman."" http://www.dailymail.co.uk/news/article-2329268/The-names-Bond-Jane-Bond-Riddle-WW2-spy-arrested-Spain--dressed-woman.html ","Hinsley, F.H. 1979-1984. British Intelligence in the Second World War: its influence on strategy and operations. / by F.H. Hinsley, with E.E. Thomas, C. F. G. Ransom, R.C. Knight. New York: Cambridge University Press.",
Ehud Barak,2/12/1942,,https://en.wikipedia.org/wiki/Ehud_Barak,"Israeli politician served as 10th P.M. from 1999-2001
allegiance: Israel","Mitchell, Thomas G. 2014. Israel's security men: the Arab-fighting political careers of Moshe Dayan, Yitzhak Rabin, Ariel Sharon and Ehud Barak. Jefferson, N.C.: McFarland & Company.","Morris, Benny. 2000. Righteous victims: a history of the Zionist-Arab conflict, 1881-1999. London: J. Murray. ","Kurtzer, Daniel C. ""The Peace Puzzle: America's Quest for Arab-Israeli Peace, 1989-2011."" Cornell University Press. 2013.
http://www.jstor.org.ezproxy.lib.utexas.edu/stable/10.7591/j.cttq42fb ",
Joseph Trumpeldor,11/21/1880,3/1/1920,https://en.wikipedia.org/wiki/Joseph_Trumpeldor,British army officer; brought Jewish imigrants to Israel,"The Encyclopedia of the Arab-Israeli Conflict : A Political, Social, and Military History, edited by Spencer C. Tucker, and Priscilla Mary Roberts, ABC-CLIO, LLC, 2008. ProQuest Ebook Central, https://ebookcentral-proquest-com.ezproxy.lib.utexas.edu/lib/utxa/detail.action?docID=327719.","Zertal, Idith. 2005. Israel's Holocaust and the politics of nationhood. Translated by Chaya Galai. New York: Cambridge University Press.",,
