Name,Born,Died,Units,Roles,Associates,Rivals,Documents,pasted Chapters,TOC,Link,Bibliography,Units Glossary
Aharon Davidi,,,Sayeret Duchiphat,,,,,,"21,23",,,
Aharon Yariv,,,,,,,,,,,,
Alik Ron,,,"Sayeret Matkal,Yamam - Police,Shaldag 5101",,,,,,,https://he.wikipedia.org/wiki/%D7%90%D7%9C%D7%99%D7%A7_%D7%A8%D7%95%D7%9F,,
Amatia Chen Patzi,9/12/1940,,Sayeret Shaked 424,,,,,,,https://www.wikiwand.com/he/%D7%90%D7%9E%D7%A6%D7%99%D7%94_%D7%97%D7%9F,,
Ami Ayalon,6/27/1945,,Shayetet 13,,,,,,"25,26,32",https://en.wikipedia.org/wiki/Ami_Ayalon,,
Ami Lev-Tov,,,,,,,,,,,,
Amir Baram,,,,,,,,,,,,
Amos Yarkoni,6/1/1920,2/7/1991,Sayeret Shaked 424,Founder,,,,,"20,21",https://en.wikipedia.org/wiki/Amos_Yarkoni,,
Archibald Wavell,5/5/1883,5/24/1950,,,,,,,,,,
Arie Gilai,,,,,,,,,,,,
Arik Sharon,,,Unit 101,,"Meir Dagan,Meir Har Zion",,,,"20,21",,,Unit 101
Avishai Katz,,,Yael RECON,,,,,,,,,
Avraham Arnan,12/29/1930,4/23/1980,Sayeret Matkal,Founder,Ehud Barak,,,,"22,23,31",https://he.wikipedia.org/wiki/%D7%90%D7%91%D7%A8%D7%94%D7%9D_%D7%90%D7%A8%D7%A0%D7%9F,,
Binyam Gibli,,,,,,,,,,,,
Binyamin Ben-Eliezer,2/12/1936,8/28/2016,Sayeret Shaked 424,,,,,,,https://www.wikiwand.com/en/Binyamin_Ben-Eliezer,,
Chaim Nave,,,,,,,,,,,,
Charles Alvin Beckwith,1/22/1929,6/13/1994,,,,,,,,,,
Claude Auchinleck,6/21/1884,3/23/1981,,,,,,,,,,
Dani Rahav Wolf,6/21/1937,4/19/2004,Sayeret Shaked 424,,,,,,,,,
Danny Yatom,3/15/1945,,Sayeret Matkal,,,,,,,https://en.wikipedia.org/wiki/Danny_Yatom,,
David Ben-Gurion,10/16/1886,12/1/1973,,,,,,,,,,
David Ben-Uziel,,,,,,,,,,,,
David Maimon,,,,,,,,,27,,,
Doron Rubin,1/1/1944,1/18/2018,Maglan,,,Ehud Barak,,,,https://en.wikipedia.org/wiki/Doron_Rubin,,
Dudley Wrangel Clarke,4/27/1899,5/7/1974,,,,,,,"11,15",https://en.wikipedia.org/wiki/Dudley_Clarke,,
Edmond Wilhelm Brillant,11/30/1916,4/15/2004,Unit 707,,,,,,,https://www.wikiwand.com/en/Edmond_Wilhelm_Brillant,,
Ehud Barak,2/12/1942,,Sayeret Matkal,,,Doron Rubin,,,"22,27,36",https://en.wikipedia.org/wiki/Ehud_Barak,,
Ehud Yatom,9/26/1948,,Sayeret Matkal,,,,,,,https://en.wikipedia.org/wiki/Ehud_Yatom,,
Eli Gil - Daud,,,Sayeret Matkal,,,,,,,,,
Erol,,,Sayeret Matkal,,,,,,,,,
Fiorenzo Capriotti,,,Shayetet 13,,,,,,,,,
"George Jellicoe, 2nd Earl Jellicoe",4/4/1918,2/22/2007,,,,,,,,,,
Giora Zorea,,,Sayeret Matkal,,,,,,,,,
Israel Carmi,,,,,,,,,,,,
Izz ad-Din al-Qassam,12/19/1882,11/20/1935,,,,,,2.2 1929 ,14,https://en.wikipedia.org/wiki/Izz_ad-Din_al-Qassam,,
John Dill,12/25/1881,11/4/1944,,,,,,,,,,
Joseph Trumpeldor,11/21/1880,3/1/1920,,,,,,,14,https://en.wikipedia.org/wiki/Joseph_Trumpeldor,,
Junio Valerio Borghese,6/6/1906,8/26/1974,,,,,,,,,,
Karl Kahana,,,,,,,,,11,,,
Marcel Tobaias,,,,,,,,,,,,
Matan Vilnai,5/20/1944,,Sayeret Tzanhanim 890 ,,,,,,,https://en.wikipedia.org/wiki/Matan_Vilnai,,
Meir Dagan,,,Sayeret Rimon,,,,,,27,,,
Meir Har Zion,,,Unit 101,,Arik Sharon,,,,"22,21",,,Unit 101
Menachem Digli,10/13/1937,6/6/1998,Sayeret Matkal,,,,,,,https://he.wikipedia.org/wiki/%D7%9E%D7%A0%D7%97%D7%9D_%D7%93%D7%99%D7%92%D7%9C%D7%99,,
Micha Ben-Ari,,,,,,,,,,,,
Moshe Dayan,5/20/1915,10/16/1981,Unit 30,,,,,,"15,20",https://en.wikipedia.org/wiki/Moshe_Dayan,,"Filed Companies,Unit 30"
Muki Betser,10/14/1945,,"Sayeret Matkal,Sayeret Tzanhanim 890 ,Shaldag 5101,Sayeret Egoz 483,Sayeret Shaked 424",,,,,,"27,31,33",https://en.wikipedia.org/wiki/Muki_Betser,,
Neil Ritchie,7/29/1897,12/11/1983,,,,,,,,,,
Orde Charles Wingate,2/26/1903,3/24/1944,,,,,,,,,,
Otto Skorzeny,6/12/1908,7/5/1975,,,,,,,,,,
Paul von Lettow-Vorbeck,3/20/1870,3/9/1964,,,,,,,,,,
Phillip Natanson,,,,,,,,,,,,
Piet De Wet,,,,,,,,,,,,
Rafi Savron,,,,,,,,,,,,
Raful,,,,,,,,,"21,31",,,
Robert A. McClure,,,,,,,,,,,,
Roger Courtney,1/1/1902,1/1/1949,,,,,,,,,,
Shay Avital,,,Sayeret Matkal,,,,,,39,,,
Shimon Avidan,2/7/1911,9/11/1994,,,,,,,,https://en.wikipedia.org/wiki/Shimon_Avidan,,
Shimon Somech,,,,,,,,,,,,
Shlomo Baum,,,Unit 101,,,,,,,,,
"Simon Fraser, 15th Lord Lovat",7/9/1911,3/16/1995,,,,,,,,,,
T. E. Lawrence,8/16/1888,5/19/1935,,,,,,,,,,
Tal Russo,9/27/1959,,"Sayeret Matkal,Maglan,Shaldag 5101",,,,,,35,https://en.wikipedia.org/wiki/Tal_Russo,,
The Lord Lovat,,,,,,,,,,,,
Theodor von Hippel,1/19/1890,1/1/1977,,,,,,,,,,
Tuvia Shapira,,,,,,,,,,,,
Uri Bar-Lev,1/1/1959,,"Sayeret Shaked 424,Duvdevan",,Ehud Barak,,,,36,https://www.wikiwand.com/he/%D7%90%D7%95%D7%A8%D7%99_%D7%91%D7%A8-%D7%9C%D7%91,,
Uri Ilan,2/17/1935,1/13/1955,,Soldier,,,,,22,https://en.wikipedia.org/wiki/Uri_Ilan,,
Uri Yarom,5/8/1931,1/8/2012,,Founder,,,,,22,https://he.wikipedia.org/wiki/%D7%90%D7%95%D7%A8%D7%99_%D7%99%D7%A8%D7%95%D7%9D,,
Vladimir Peniakoff,3/30/1897,5/15/1951,,,,,,,,,,
Willie Roher,5/19/1877,3/8/1930,,,,,,,10,https://en.wikipedia.org/wiki/Willy_Rohr,,
Wingate,,,,,,,,2.3 1936 Great Arab Revolt,"11,15",,,Special Night Squad
Winston Churchill,11/30/1874,1/24/1965,,,,,,,9,https://en.wikipedia.org/wiki/Winston_Churchill,,
Yigal Allon,,,,,,,,,15,,,Filed Companies
Yitzhak Rabin,,,,,,,,,,,,
Yitzhak Sadeh,8/10/1890,8/20/1952,,Founder,,,,,"14,15",https://en.wikipedia.org/wiki/Yitzhak_Sadeh,,"Nodedet in Jerusalem,Mobile Guard,Filed Companies,Special Operations Unit"
Yohai Ben-Nun,12/17/1924,6/6/1994,Shayetet 13,Founder,,,,,,https://en.wikipedia.org/wiki/Yohai_Ben-Nun,,
Yonatan Netanyahu,3/13/1946,7/4/1976,Sayeret Matkal,,,,,,31,https://en.wikipedia.org/wiki/Yonatan_Netanyahu,,
Yosef Dror,1/21/1925,6/29/1976,Shayetet 13,,,,,,,,,
Yossi Gino,12/30/1947,12/21/2016,Sayeret Matkal,,Avraham Arnan,,,,,https://www.wikiwand.com/he/%D7%99%D7%95%D7%A1%D7%99_%D7%92%27%D7%99%D7%A0%D7%95,,
Yossi Langotsky,1/1/1934,,Sayeret Nahal Arava 150,,,,,,,https://www.wikiwand.com/he/%D7%99%D7%95%D7%A1%D7%99_%D7%9C%D7%A0%D7%92%D7%95%D7%A6%D7%A7%D7%99,,
Ze'ev Almog,2/1/1935,,Shayetet 13,Reformer,Menachem Digli,,,,"25,32",https://en.wikipedia.org/wiki/Ze%27ev_Almog,,
Zeev Liron,,,,,,,,,,,,
Zvi Brenner,,,,,,,,,,,,
Zvika Barkai,,,,,,,,,,,,
Binyami Gibli,,,,,,,,,,,,
