Title,Operation,Details,Date,Location,Coordinates
British police boat,British police boat,,"August 8, 1939",,
Patria,Patria Disaster,,"January 25, 1940",Patria Disaster,
Operation Boatswain,Operation Boatswain,,"May 18, 1941",Operation Boatswain,
Detainee Camp,Detainee Camp,Releasing 208 detainees,"October 10, 1945",Atlit,
Railroads and three British boats,Multiple Railroads and 3 British boats,Sabotaging patrol boats ,"November 2, 1945",Jaffa and Haifa,
Coastal Police Posts,Coastal Police Posts (Givat-Olga and Sidni-Ali),Attacking the coastal police posts,"November 25, 1945",Givat-Olga and Sidni-Ali,
Coastal Police Post,Coastal Police Post (Giv'at-Olga),Attacking coastal police post,"January 20, 1946",Giv'at-Olga,
Four British boats,4 British boats (Haifa),,"February 1, 1946",Haifa,
Radar Installation,Radar Installation (Haifa),Attacking the radar installation,"February 21, 1946",Haifa,
Mobile Police,Mobile Police (Kefar Vitkin),Attacking the mobile police ,"February 22, 1946",Kefar Vitkin,
Night of the Bridges,Night of the Bridges 10 Bridges,,"June 16, 1946",Night of the Bridges 10 Bridges,
Empire Haywood,Empire Haywood,Sabotaging deportation ship,"August 18, 1946",Empire Haywood,
Empire Rival,Empire Rival (Haifa),Sabotaging deportation ship,"August 22, 1946",Haifa,
Three British naval police craft,3 British naval police craft,,"November 1, 1946",3 British naval police craft,
SS Ocean Vigour,"SS Ocean Vigour (Famagusta, Cyprus)",,"February 2, 1947","Famagusta, Cyprus",
Two Landing Crafts and a Patrol Boat,2 Landing Crafts 1 Patrol Boat (Haifa),Sabotaging landing crafts and a patrol boat,"February 13, 1947",Haifa,
Ocean Vigor,"Ocean Vigor (Famagusta, Cyprus )",Sabotaging deportation ship,"April 2, 1947","Famagusta, Cyprus ",
Empire Rival,Empire Rival (Haifa),,"April 3, 1947",Haifa,
Empire Rival,Empire Rival (On route to Egypt),Sabotaging deportation ship,"April 4, 1947",On route to Egypt,
Two Radar Installations,Two Radar Installations (Haifa),Attacking radar installations,"July 21, 1947",Haifa,
Empire Life Guard,Empire Life Guard (Haifa),Sabotaging deportation ship,"July 23, 1947",Haifa,
Empire Life Guard,Empire Life Guard,,"July 23, 1947",Empire Life Guard,
Empire Rival,"Empire Rival (Hamburg, Germany)",,"September 9, 1947","Hamburg, Germany",
Lino,"Lino (Bari, Italy)",,"April 10, 1948","Bari, Italy",
Najada House,Najada House (Haifa),,"April 22, 1948",Haifa,
Rosh Hanikra,Rosh Hanikra,,"May 13, 1948",Rosh Hanikra,
