Name,Notes,Attachments,LONGEVITY,ORGANIZATION,LOCATION,ROLE
Nodedet 1,1929,1933,4,Haganah,Jerusalem,Preventive
Nodedet 2,1931,1933,2,Haganah,Jordan Valley,Preventive
Nodedet 3,1936,1939,3,Haganah,Tel Aviv,Preventive
Mobile Guard,1937,1939,2,Haganah,North,Preventive
Filed Companies,1937,1939,2,Haganah,North,Preventive
Guards of the Trains and the Ports,1937,1939,2,Haganah,North,Preventive
Pipeline Defenders Platoon,1938,1939,1,Haganah,North,Preventive
Special Night Squad,1938,1938,0,Haganah,North,Preventive
Special Operations Unit,1939,1941,2,Haganah,Center,Clandestine
Filed Corps,1939,1939,0,Haganah,Center,Preventive
Commando 51,1940,1941,1,British Army,North Africa,Commando
Special Interrogation Group – SIG,1942,1942,0,British Army,North Africa,Commando
The Syrian Platoon,1940,1943,3,Palmach,North,Intelligence
The German Platoon,1941,1947,6,Palmach,North,Clandestine
The Arab Squad,1942,1948,6,Palmach,Haifa,Intelligence
Scouts,1941,1942,1,Palmach,,Reconnaissance
Masqueraders,1943,1948,5,Palmach,Haifa,Intelligence
The Balkan Platoon,1943,1945,2,Palmach,Europe,Clandestine
The 7th Company,1944,1948,4,Palmach,North,Intelligence
The 4th Battalion,1944,1948,4,Palmach,Center,Reconnaissance
Jewish Paratroops,1944,1944,0,British Army,Europe,Clandestine
Palyam Sea Company,1945,1948,3,Palmach,Navy,Naval 
Port Company,1947,1948,1,Palmach,Navy,Defensive
Negev Animals 1 Shiloni,1947,1948,1,Palmach,South,Infantry
Negev Animals 2 Beeri,1947,1948,1,Palmach,South,Infantry
Maritime Demolition Unit,1948,1948,0,"Palmach,Palyam",Navy,Naval 
Naval Commandos,1948,1948,0,"Palmach,Palyam",Navy,Naval 
Divers,1948,1948,0,"Palmach,Palyam",Navy,Naval 
Reconnaissance Company 9th Battalion,1948,1948,0,Palmach,South,Reconnaissance
Commando Battalion 89,1948,1948,0,Palmach,Center,Infantry
Commando Battalion 75 French Commando,1948,1948,0,Palmach,South,Infantry
Samson's Foxes Givati,1948,1956,8,IDF,South,Infantry
Barak Battalion 12 Golani,1948,2001,53,IDF,North,Reconnaissance
Paratroopers 1948,1948,1949,1,IDF,Haifa,Infantry
Palsar 7 Armored Reconnaissance Company,1948,1973,25,IDF,North,Infantry
Intelligence Service 18 805,1948,1950,2,IDF,AMAN,Spyware and sabotage
