Name,Notes,Attachments,Location,Latitude,Longitude,REGIONAL COMMAND,Affiliation,Predecessor,Successor,Founder
Unit 30,1951,Yes,Negev,30.439202,34.587708,South,,"Palmach,Masqueraders",,
Unit 101,1953,No,Jerusalem,31.7833,35.2167,Center,,Palmach,,
Nahal Reconnaissance Platoon 150,1954,Yes,Arava,30.154627,34.963989,South,,Unit 30,,
Sayeret Shaked 424,1955,Yes,Negev,31.24803,34.812927,South,,"Nahal Reconnaissance Platoon 150,Unit 30",,
Sayeret Egoz 483 1,1956,Yes,Galilee,32.532921,35.318985,North,,,,
Sayeret Egoz 483 2,1963,Yes,Galilee,32.697177,35.306625,North,,Sayeret Egoz 483 1,,
Sayeret 525,1963,Yes,Negev,30.803193,35.038147,South,Sayeret Shaked 424,Sayeret Shaked 424,,
Sayeret Haruv 484,1966,Yes,Jordan Valley,32.227905,35.562744,Center,,,,
Shfifon (Shaked),1968,Yes,Arava,29.989434,35.073853,South,Sayeret Shaked 424,Sayeret Shaked 424,,
Zikit (Shaked),1970,Yes,Gaza,31.517679,34.457245,South,Sayeret Shaked 424,Sayeret Shaked 424,,
Rimon,1970,Yes,Gaza,31.469668,34.421539,South,,,,
Duvdevan 217,1986,No,West Bank,31.776045,35.296326,Center,,,,
Unit Alpinistim 7810 (Res),1974,No,Hermon,33.416111,35.8575,North,,,,
Shimshon 367,1987,Yes,Gaza,31.426319,34.372787,South,,,,
LOTAR Eilat 7707 (Res),1989,No,Eilat,29.550164,34.959011,South,,,,
Egoz (Golani) 621,1995,No,Lebanon,32.963333,35.091111,North,,,,
Rimon (Givati) 845,2010,No,Negev,29.567778,34.903056,South,,,,
Mechanized Infantry - Alon,1988,Yes,Ramallah,31.867964,35.22825,Center,Armor Brigade 211,,,
Mechanized Infantry - Eshchar,1988,Yes,Gaza,31.528114,34.483244,South,Armor Brigade 401,,,
Mechanized Infantry - Eshchar,1988,Yes,Nablus,32.254194,35.188181,Center,Armor Brigade 401,,,
Mechanized Infantry - Ashuach,1988,Yes,Bet Jallah,31.716667,35.183333,Center,Armor Brigade 500,,,
Mechanized Infantry - Oren,1992,Yes,Kisufim,31.375267,34.39913,South,Armor Brigade 188,,,
Mechanized Infantry - Eshbal,1990,Yes,Rafah,31.316667,34.228889,South,Armor Brigade 401,,,
Yamam Counter-terrorism,1973,No,,,,,Police,,,
Border Police Reconnaissance Unit - North,1982,,,,,, Border Police,,,
Border Police Reconnaissance Unit - Tel-Aviv,1983,,,,,, Border Police,,,
Border Police Reconnaissance Unit - ,,,,,,, Border Police,,,
,,,,,,,,,,
Border Police Reconnaissance Unit 7 Center,1988,,,,,,,,,
Gideon Sword Police 33 - Jerusalem District,1990,No,,,,,Police,,,
Yamas Jerusalem,1990,,,,,, Border Police,,,
Yamas Aravah,1990,,,,,, Border Police,,,
Yamas West Bank,1991,,,,,, Border Police,,,
Matilan Border Patrol,1996,,,,,, Border Police,,,
Yagal,2000,,,,,, Border Police,,,
Border Police Reconnaissance Unit 5 South,2008,,,,,, Border Police,,,
,,,,,,,,,,
,,,,,,,,,,
