Date ,Date - Translated,Operation Name,Location,Place,Latitude,Longitude,Desciption,Tactics,Order Forces,Unit / Units,,,,,
1/25/1953,1/25/53,Operation of Idna 1,Jerusalem,Idna village near Amazya,31.531176,34.914463,Two companies from Battalion 890 under the command of Yehuda Harari attack the village of Idna. IDF soldier has been killed and a soldier was missing.,,,,,,,,
1/28/1953,1/28/53,"Operation Rantis ; ""Dust and Ashes",Amazya ; Jordan - Rantis village - southeast of Rosh ha,Northeast Shoham near Ofarim ; Rantis,32.029973,35.018973,"Mountain battalion command company includes power under the command of Arik Regev room Rantissi and blew up a house and a well. Battalion 890 comprising Company pursuant to neutralize the guards and blast penetration power, strength, and Retention reserve force.",,,,,,,,
5/18/1953 - 5/20/1953,5/18/53,"Chain Operations ; ""Raattler me through""","Rantis ; Jordan - Husan village, Beit Sira, Beit Nuba and the Liqiya","Beit Sira, Beit Nuba Home Liqiya Husan , Husan village",31.88743,35.04532,Battalion 890 under the command of mountainous performs three consecutive operations. 1. raided Beit Sira 18/05/1953. 2. The raid on Husan 19/05/1953. 3. raid on Beit Nuba and the Liqiya 20/05/1953.,,,,,,,,
7/12/1953,7/12/53,Operation of Nabi Samuel,Beit Sira ; Jordan - Nabi Samuel near Jerusalem,Nebi Samuel north of Jerusalem,31.833024,35.180546,"Reprisals following the murder of two soldiers in Moshav Even Sapir. A small number of fighters under the command of Ariel Sharon launched a killer blast at the home of Mustafa Samuel. The action failed, but spurred the creation of Unit 101, which was established at the beginning of August 1953.",,,,,,,,
8/12/1953 - 8/13/1953,8/12/53,"Operation of Idna 2 ""Retribution""","Nebi Samuel ; The attack on the village of Idna, Surif, Al Khader and Beit Ula","Eden Tarqumya southeast of Beit Guvrin ; Idna, Surif, Al Khader and Beit Ula",31.57733,35.014174,"Retaliation for throwing grenades to children in Kiryat Yearim. Diversionary attack on the village of Idna led by deputy commander lion blocking the way to Efrat Tarqumya led by Kalman Shield; blocking the way for reinforcements Tarqumiya, while other forces raided the villages",,,,,,,,
8/31/1953 - 9/1/1953,8/31/53,Action to Bourges ; A raid on Al Burj,Abu she ; An Egyptian post near the refugee camp Al Bureij in the Gaza Strip,Al Bureij: Gaza Strip,32.7998897,35.1671263,A raid on the al-Bureij in the Gaza Strip in order to harm centering Fdainim. Three squads under the command of Ariel Sharon. One casualty unit 15 Arabs dead.,,,,,,,,
9/1/1953,9/1/53,Operation Beit Mirsim,Al Burj ; A Jordanian military facility near the village of Burj Al Bireh in the southwest of Hebron Hills,South West Mount Hebron ; Burj Al Bireh,31.453869,34.91217,"A raid on Beit Mirsim, a military installation between Dora Dahariyya. here was damage to the facility.",,,,,,,,
10/10/1953,10/10/53,Operation Beit Sira,Beit Horon ; Jordan - the village of Beit Sira,East of the Maccabees bad ; Beit Sira,31.88743,35.04532,Unit 101. The operation of Beit Sira damage to transport retaliation for the murder of Israelis near Lod; Price collection for the murder of Israelis near Moshav Ahiezer,,,,,,,,
10/14/1953 - 10/15/1953,10/14/53,"Operation Cuvier ; Cuvier operation ""Operation Rose""",Beit Sira ;Jordan - Cuvier village east of Shoham,East of Shoham and Beit Nehemia,31.977142,34.953835,"Charging a price for murders of terrorist cells and mainly the murder of a mother and her two children in a Jewish village (Yehud); Retaliation for the murder of the girl Rose in Yehud. The first joint action of Battalion 890, (commanded by Ahron Davidi) and Unit 101 under the command of Ariel Sharon. The fighters were divided into five forces: An initial burst of the village, force two sheep placed in control of the Jordanian army, a third force blocked the way of reinforcements from the village of Budrus, power Wednesday, led by Meir Har-Zion blocked the road to the village of Shukba and power Thursday, led by Eric Schlein blocked the road Ni'lin village. The operation commander Ariel Sharon stayed with another force near the border that was used as a reserve and carrying explosives and mortars. Many houses were destroyed and 69 civilians were accidentally killed.",,,,,,,,
12/18/1953,12/18/53,Operation Bricotslmh ; Operation Solomon's Pools,Beit Nehemia ; Jordan - Solomon's Pools near Bethlehem,Hebron Road Bethlehem,31.6888889,35.1697222,"Departure from the town of Mevo Betar, a deep penetration into Jordan and placing evening is near Solomon's Pools. Both squads commanded by Shlomo Baum and Meir Har-Zion. Ambush in the snow near Solomon's Pools, killing a medical officer of the Legion. Retaliation for the murder of soldiers at Beit Guvrin",,,,,,,,
12/19/1953,12/19/53,The operation means ; Operation Beit Ummar and Beit Surif,Solomon's Pools ;Jordan - villages of Beit Ummar and Surif near Hebron,South West Gush Etzion ;  Beit Ummar and Surif,31.2557362,34.8071636,Legion headquarters in tour and says Tzofin ; Injury Guard headquarters and the Jordanian Legion villages mentioned;  Tour violent,,,,,,,,
12/21/1953,12/21/53,"Operation Hebron ; ""Operation silk gloves"" raid on Hebron",Tarqumya ; Kibbutz Metzer,Hebron ; Tarkumya,31.532569,35.099826,"Power output from Kibbutz Netiv Halamed, Meeting outskirts of Hebron (42 km round trip) and the Jordanian Legion base at Tarqumyia. ""Operation silk gloves"" Bankruptcy depth through seepage to the outskirts of Hebron. A squad commanded by Meir Har-Zion raided the outskirts of Hebron and a squad led by Eric Schlein raided an army camp near Tarqumyia. Home explosion.",,,,,,,,
12/21/1953,12/21/53,"Operation Tarqumya ; Operation ""Send"" function Tarqumyia",Gush Etzion ; Tarkumya village near Hebron,Southeast Beit Guvrin ; Tarkumya,31.57733,35.014174,"""Operation Send 'raid on Tarqumya and the members of the armed gangs ; Raiding the homes of members of the armed gangs",,,,,,,,
12/24/1953,12/24/53,"Operation Gush Etzion ; Operation ""Whip"" act of Gush Etzion",Hebron ; Jordanian Legion camp near Bethlehem Road - Hebron,Gush Etzion ;  Bethlehem,31.2557362,34.8071636,Jordanian Legion camp tour ; Tour Legion camp in Gush Etzion ; Holiihbfikodo Shlomo Baum,,,,,,,,
2/1/1954,2/1/54,Gaza Strip,Gush Etzion,Chain operations carried out by squads compensation.,31.522561,34.453593,Cuvier opposed the action of big government and the IDF operation has been small acts of reprisal squads.,,,,,,,,
3/28/1954,3/28/54,"Operation Nahlin ; ""Operation Lion""",Gaza; Jordan - near the village of Nahlin near Gush Etzion,South West Bethlehem north to Gush Etzion; Nahlin,31.7053821,35.2024425,"Following the massacre in incurring cost bus traveling up the scorpion and murder watchman living room. Force led by deputy commander David raiding Nahlin, Mukhtar hits and destroys homes.Initially encountered an ambush force, charges at him and kill him. Sixty fighters participated in the operation under the command of Ariel Sharon, fresh battalion of 890 + 101. The force, commanded by Meir Har-Zion came out from the town of Mevo Betar, three classes were held on the roads leading Nahlin force under the command of Aaron David raided the village. ",,,,,,,,
4/2/1954,4/2/54,"Perception of Egyptian soldiers ; ""Operation cigarette""",Bethlehem; Egypt - Gaza Strip,Ambush near the Rafah raid on an outpost near Gaza,31.29678,34.243482,Operation designed to catch Egyptian prisoners for the purpose of replacing the Israeli soldier kidnapped on 25/03/1954. Egyptian patrol jeep injury ranging Mir Gaza - to Saba. Battalion force of 890 officers - the force is not known,,,,,,,,
5/31/54,5/31/54,"""swallow""",Saudi coast,Saudi coast,28.2584585,34.6756279,"Intelligence gathering near the Saudi coast; Maritime ptrol; Boat civil engine installed on her machine guns and radios. Seven soldiers, including fighters and intelligence",,,,,,,,
6/29/1954,6/29/54,"Operation Azun ; ""Welcome 1"" -faolt Azun",Rafah : Jordan - Jordanian Legion camp near the village of Azzun,Qalqilya Alfei Menashe Top Bank near the village of Azun,32.177101,35.055957,Retaliation following the murder of a farmer in the fields Raanana - Kfar Saba by infiltrators from the Jordanian army. Seven fighters of Battalion 890 under the command of Meir Har-Zion and Aharon David.i Power under Doiidi raid the Jordanian army base near the village of Azzun. Gibli was wounded and left on the ground. See testimony Slglad Jerry Harel.,,,,,,,,
7/10/1954,7/10/54,"The act of longing ; Operation ""eye for an eye"" act of longing",Azzun ; Gaza Strip - Egyptian military outpost between Deir al-Balah Khan Younis,Occupation stationed north of Khan Younis 79 ; Deir al-Balah Khan Younis,31.349977,34.299682,"Four forces on the order of a department under the command of Meir Har-Zion, Eli Gozan, Saadia and Amikam Rachlin Elkayam, Arik Sharon commanded the entire operation.The first act of paratroopers stationed Egyptian military occupation Mbotzrbgdrot, trenches and minefields. Ariksronnftza and Hoalhbdrgh",,,,,,,,
8/2/1954,8/2/54,Age (Gibli Isaac freedom),Khan Younis,"Recession followed, Jenin, Beit Liqiya and a pin.",31.889281,35.169813,"The sequence of the Jordanian soldiers to capture ""Redemption of Prisoners"" by Yitzhak Gibli. Squads under the command of Eric, Mount Zion and David Supapo soldiers and police captured a Jordanian and Gibli released.",,,,,,,,
8/14/54,8/14/54,"""Make water"" Operation Water Institute ; Operation Water Institute",Egypt - Gaza ; Bitoniih,Gaza ; Water Institute from Jabaliya in Gaza,31.3546763,34.3088255,"Collection of aggravated main water carrier explosion in Kibbutz Nir wipe with a couple of days earlier. Company B, commanded by Moses veteran Nascent raided Gaza's Water Institute and detonated it.",,,,,,,,
8/30/1954,8/30/54,Age (Gibli Isaac freedom),Gaza,"Khirbet operation Gi""l 3 pin",31.491148,34.943642,"The sequence of the capture of Jordanian soldiers to replace them Gibli. Commanded squads of Mount Zion, David, Motta Gur, and Sofafo captured soldiers and police. Gibli returned to Israel.",,,,,,,,
9/2/1954,9/2/54,"The operation Liqiya ; Operation ""Benjamin in"" - the act of a Liqiya",Khirbet pin ; Jordan - Legion outposts in the villages of Beit Lakiya and Beit Ur al Tahta near Ramallah,Intelligence and north-east of Mevo Horon ; Beit Lakiya and Beit Ur al Tahta ,31.869937,35.065202,"Battalion reprisals following the murder of two Jews in Moshav Mata in the Jerusalem corridor and capture of Jordanian soldiers to redeem the fallen warrior captured Benjamin Gibli. The first battalion of action against the Legion's 7th Battalion at Ur a-Tahta and Beit Liqiya. The order of battle: reconnaissance - Meir Har Zion; Company A - Shlomo Baum; FL B - David and Elisha; FL-III - Marcel Tobias; Pal D - Motta Gur. Blocks all hinges on the ""double ambush"" initiated encounters with the Legion, capturing prisoners. ; Intrusion attacks on outposts and villages to attract reinforcements from the area of ​​Ramallah, arrested reinforcements ambushed, assaulted them and where some of the soldiers ; Five forces: first force would patrol commanded by Meir Har-Zion blocked from west to east, second force commanded by Shlomo Baum was blocked to the north, a third force commanded by Aaron David and Elisha whole burst outposts and to Liqiya, power Wednesday, led by Marcel Tobias block south and strength Thursday under Motta Gur was in course and served as a reserve",,,,,,,,
12/4/1954,12/4/54,"Cadiz eye operation ; ""Operation Maple Yard"" eye operation Cadiz",The Liqiya ; Eye Cadiz,At Qseimme Egypt ; Ein Kadis,30.5833333,34.4841667,,,,,,,,,
12/8/54,12/8/54,"""Operation cricket""",Israel Syria border - near the eye placed totalized chef Nir,Kibbutz Snir,33.240338,35.677015,Listening intelligence handling facility. Four paratroopers and Golani soldier,,,,,,,,
2/28/1955,2/28/55,"Gaza Raid ; ""Black Arrow""",Eye Cadiz ; Gaza,The train station north of Gaza City ; Gaza,31.522561,34.453593,"Charging a price for terrorist infiltrations of Rishon Lezion and the murder of a citizen from Kfar Gabirol. Occupation and destruction of an Egyptian military camp. Attack on an Egyptian army camp, Institute of Water and Train Station; Institute explosion and water damage to a railway station including ambushes and eliminating reinforcements. A complex operation with multiple destinations. Two companies under the command of Motta Gur and Saadi Elkayam",,,,,,,,
6/25/55,6/25/55,"""mucous""",The coast of Beirut,The coast of Beirut,45.572468,-122.719884,"Easy-wide fleet commander, had hoped to raise the fighting ability, confidence and morale of Flotilla 13 fighters were frustrated idleness at Ssarlohmi army carried out large land deals. Check the missile boat up to approximately 37 km from the coast, down boat ""Bird"" and the decline of divers into the water about 500 meters from the breakwater and then penetrate quiet port. INS Nga, launches ""bird"", four divers",,,,,,,,
8/19/55,8/19/55,There - a tour to the estuary - Dog Lebanon,Estuary to - dog Lebanon,,,,"Examine the possibility of future income of explosives into the river boats to sabotage bridged. Check Adsmoc estuary aboard the INS Venus, the decline fighters that you have lived at the target and testing. INS Venus and an unknown number of combatants.",,,,,,,,
