Unit,Year Established,Affiliation,Entrepreneur (none/founder/transformative),Entrepreneur evidence,Fate (demised/merged/endured/expanded),Fate evidence
114 Squadron Night Leaders Squadron,1966,Air force,,,,
118 Squadron Nocturnal Birds of Prey Squadron,1970,Air force,,,,
124 Squadron Flipping Sword Squadron,1958,Air force,,,,
135 Armored Reconnaissance Battalion,1954,"7 Armored Brigade, Armor",,,,
332 Battalion,1956,"Paratroopers, Paratroopers Brigade 35",,,,
669,,,,,,
7 Armor Reconnaissance Company,1986,"7 Armored Brigade, Armor",,,,
935 - China - Mobility Team Nahal,2022,Nahal Brigade 933,,,,
98 Division - The Fire Formation,1974,Central Command,,,,
99 Division,2020,99 Division - The Maneuver Formation,,,,
Air Force,1948,IDF,,,,
Airborne  Reconnaissance 73,1957,"Paratroopers, Paratroopers Brigade 35",,,,
Airborne  Reconnaissance Company 5173 - Taipan,1956,Paratroopers,,,,
Airborne Battalion 890,1950,"Paratroopers, Paratroopers Brigade 35",,,,
Airborne Reconnaissance Platoon A,1954,"Paratroopers, Paratroopers Brigade 35",,,,
Almagor,2000,Field Intelligence,,,,
ATM Recon Unit 70,1968,Infantry,,,,
Ayit 595,2000,Field Intelligence,,,,
Balnam 444,2005,"99 Division - The Maneuver Formation, Marom",,,,
Barak Battalion 12 Golani,1948,"Golani Brigade, Infantry",,,,
Bat (ATALEF) Unit,1966,"Regional, Sayeret Shaked 424, Southern Command",,,,
Battalion for Air Assignments (Shaldag),1977,"Infantry, Sayeret Matkal",,,,
Battalion for Air Assignments (Shaldag) 5101,1984,Air force,founder,Muki Betser the documented initiator/builder ('The Genesis of Shaldag') of an unofficial reserve battalion built 'under formal ambiguity and personal initiative'; formalized as Unit 5101 (air force) 1984.,expanded,Still active air-force special unit; grew into a standing formation and fed personnel/standards to other units (e.g. Maglan via Russo).
Bomb Disposal Unit,1948,Engineering,,,,
Bomb Disposal Unit 1970,1970,"Engineering, Yahalom",,,,
Boom Defense,1941,British Army,,,,
Border Police Reconnaissance Unit - Central District,1983,"Police, SAMAG",,,,
Border Police Reconnaissance Unit - North,1982,"Police, SAMAG",,,,
Border Police Reconnaissance Unit - South,2008,Police,,,,
Central Command,1948,IDF,,,,
Chief infantry and paratrooper officer,1965,,,,,
Combat Engineering Reconnaissance Platoon 601,1994,"Combat Engineering Reconnaissance Platoons, Engineering",,,,
Combat Engineering Reconnaissance Platoon 603,1993,"Combat Engineering Reconnaissance Platoons, Engineering",,,,
Combat Engineering Reconnaissance Platoon 605,1977,"Combat Engineering Reconnaissance Platoons, Engineering",,,,
Combat Engineering Reconnaissance Platoons,1993,Engineering,,,,
Commando 51🇬🇧,1940,British Army,,,,
Commando Battalion 75 French Commando,1948,"9 Brigade, Palmach",,,,
Commando Battalion 89,1948,"8 Brigade, Palmach",,,,
Coral,,,,,,
Counter-NBC and  Company,1993,"Engineering, Yahalom",,,,
Counter-NBC and purifiers,1991,"Engineering, Yahalom",,,,
Counterterrorism school,1974,"99 Division - The Maneuver Formation, Infantry, Marom",,,,
Defensive Divers 707,1962,Navy,,,,
Depth Corps,2012,IDF,,,,
Divers,1948,"Palmach, Palyam",,,,
Druze Reconnaissance Unit 244,1967,Infantry,,,,
Duchiphat Hoopoe Anti-Tank Company 94,1984,ATM,,,,
Duchiphat Hoopoe Reconnaissance,1966,Paratroopers,,,,
Duvdevan 217,1986,"89 Oz Brigade, Regional",,,,
Egoz 621,1995,"Golani Brigade, Infantry",,,,
Filed Companies,1937,Haganah,,,,
General Staff Visual Intelligence Unit - Lebanon Company,1985,Field Intelligence,,,,
General Staff Visual Intelligence Unit - Mobile Company,1976,Field Intelligence,,,,
Gideon Sword Police 33 - Jerusalem District,1990,Police,,,,
Givati Anti-Tank Company,1984,"Givati Brigade 84, Infantry",,,,
Givati Brigade 84,1983,"162 Division, Southern Command",,,,
Givati Engineer Company,1984,"Givati Brigade 84, Infantry",,,,
Givati Reconnaissance Battalion (Gadsar),2002,"Givati Brigade 84, Infantry",,,,
Golani Anti-Tank Company,1977,"Golani Brigade, Infantry",,,,
Golani Brigade 1,1948,,,,,
Golani Engineer Company,1977,"Golani Brigade, Infantry",,,,
Golani Engineering company,1965,"Golani Brigade, Infantry",,,,
Golani Reconnaissance Battalion,2001,"Infantry, Northern Command",,,,
Granade Rimon Unit 5176,1970,"Regional, Southern Command",,,,
Green Squirrel,1973,"ATM, Paratroopers",,,,
Guards of the Trains and the Ports,1937,"British Army, Haganah",,,,
Haganah,1920,,,,,
